source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 11	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_1.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_1.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 12	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_2.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_2.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 13	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_3.raw	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_3.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 14	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_4.raw	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_4.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 15	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_5.raw	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_5.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 16	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_6.raw	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_6.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 17	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_7.raw	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_7.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 18	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_8.raw	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_8.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 19	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_9.raw	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_9.raw	HeLa
PXD014058-Sample-1	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 20	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/12/PXD014058/20190203_HELA_1_Down_10.raw	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	1	20190203_HELA_1_Down_10.raw	HeLa
