source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
MSV000085836-Sample-1	Homo sapiens	Breast	not available	MDA-MB-468	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDA-MB-468
MSV000085836-Sample-2	Homo sapiens	Breast	not available	AU565	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	AU565
MSV000085836-Sample-3	Homo sapiens	Skin	not available	SH-4	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	SH-4
MSV000085836-Sample-4	Homo sapiens	Breast	not available	CAL-51	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	CAL-51
MSV000085836-Sample-5	Homo sapiens	Kidney	not available	KMRC-1	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	KMRC-1
MSV000085836-Sample-6	Homo sapiens	Lung	not available	RERF-LC-MS	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	RERF-LC-MS
MSV000085836-Sample-7	Homo sapiens	Skin	not available	RPMI-7951	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	RPMI-7951
MSV000085836-Sample-8	Homo sapiens	Kidney	not available	VMRC-RCW	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	VMRC-RCW
MSV000085836-Sample-9	Homo sapiens	Skin	not available	IGR-37	not available	1	run 1	f04538_Prot_01_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04538_Prot_01_F01.raw	1	1	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	IGR-37
MSV000085836-Sample-1	Homo sapiens	Breast	not available	MDA-MB-468	not available	2	run 2	f07511_Prot_01_R2_F01.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f07511_Prot_01_R2_F01.raw	1	1	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDA-MB-468
