Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell line]	Characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[file uri]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	sampleChecksum	sampleAccession
PXD003668-Sample 1	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	1	run 1	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	cell	d362917a89bc363cc6026720dac1397a2691c41e81563fdc48440562a95c666b	SAMEA7711843
PXD003668-Sample 2	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	2	run 2	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	cell	8ead9cab9f1c75bb7733874e1307468bed032bc9ce900b7520c3172390424b17	SAMEA7711844
PXD003668-Sample 3	Homo sapiens	not available	DOV13	not available	not available	not available	not available	not available	not available	3	run 3	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	cell	0c7bc049c67b853dc2f533f85baf8ae80ed5e97696f534f30ebb61dd85baba04	SAMEA7711845
PXD003668-Sample 4	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	1	run 4	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20140115_EXQ6_FaCo_SA_CL_OVCA433_A.RAW	cell	e00983b5fbe745b5809979484a33bcc28fddb47c3e3c90d44844882d0bcee792	SAMEA7711846
PXD003668-Sample 5	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	2	run 5	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVCA433_B.RAW	cell	7bc359e14dd8153bad8ea4613297a223ed365eafd0f509348b559761a52794f7	SAMEA7711847
PXD003668-Sample 6	Homo sapiens	not available	OVCA433	not available	not available	not available	not available	not available	not available	3	run 6	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20131222_EXQ2_FaCo_SA_CL_OVCA433_C.RAW	cell	8d5a3f315c7b79228d6d042a09b642c78689f2cad31a9a1941177af5d7fa6941	SAMEA7711848
PXD003668-Sample 7	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	1	run 7	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_A.RAW	cell	643364253718cdb03b97fe7f0beba420d9c047e63dc0594cdd165d36ae1ecae5	SAMEA7711849
PXD003668-Sample 8	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	2	run 8	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_B.RAW	cell	6ce30d3a4f457de15f52de3cac6ff020114b91f2871b91a2b426ed7e3333301a	SAMEA7711850
PXD003668-Sample 9	Homo sapiens	not available	OVISE	not available	not available	not available	not available	not available	not available	3	run 9	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130314_EXQ4_FaCo_SA_CL_OVISE_C.RAW	cell	3c4d1af59875a43903885fa365d5f4f30fb3a17ae7f76dcda09b45c325373f5d	SAMEA7711851
PXD003668-Sample 10	Homo sapiens	not available	IOSE7576	not available	not available	not available	not available	not available	not available	1	run 10	not applicable	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	not available	not available	20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.RAW	cell	a072f357fb32ac2ffec9086c43c516c26f692bd86183b845f93246359c516bb8	SAMEA7711852
