Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00165_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-111","1","C3L-00165
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00165_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-187","1","C3L-00165
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00815_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-84","1","C3L-00815
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00908_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-19","1","C3L-00908
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00966_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-23","1","C3L-00966
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00966_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-108","1","C3L-00966
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00968_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-114","1","C3L-00968
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00968_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-60","1","C3L-00968
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00969_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-123","1","C3L-00969
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00969_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-90","1","C3L-00969
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00970_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-190","1","C3L-00970
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00970_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-173","1","C3L-00970
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00976_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-177","1","C3L-00976
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00976_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-186","1","C3L-00976
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00980_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-156","1","C3L-00980
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00980_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-25","1","C3L-00980
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00981_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-11","1","C3L-00981
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00981_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-81","1","C3L-00981
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00982_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-2","1","C3L-00982
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00982_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-76","1","C3L-00982
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00991_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-38","1","C3L-00991
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-00991_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-39","1","C3L-00991
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01033_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-71","1","C3L-01033
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01033_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-80","1","C3L-01033
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01034_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-150","1","C3L-01034
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01034_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-170","1","C3L-01034
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01102_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-78","1","C3L-01102
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01102_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-155","1","C3L-01102
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01106_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-85","1","C3L-01106
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01106_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-148","1","C3L-01106
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01107_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-47","1","C3L-01107
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01107_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-46","1","C3L-01107
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01459_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-101","1","C3L-01459
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01462_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-140","1","C3L-01462
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01462_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-27","1","C3L-01462
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01464_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-152","1","C3L-01464
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01464_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-144","1","C3L-01464
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01465_T.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-98","1","C3L-01465
Primary Tumor"
"CPTAC_CCRCC_W_JHU_LUMOS_C3L-01470_NAT.raw","CPTAC CCRCC Confirmatory Study - DIA Proteome-75","1","C3L-01470
Solid Tissue Normal"
