source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[precursor mass tolerance]	comment[MS1 scan range]	comment[MS2 scan range]	comment[fragment mass tolerance]	factor value[disease]
PXD010912-Sample-1	Homo sapiens	Liver	normal	not available	not available	not available	not available	1	Human liver S9 fractions	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA1.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA1.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-2	Homo sapiens	Liver	normal	not available	not available	not available	not available	2	Human liver S9 fractions	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA2.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA2.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-3	Homo sapiens	Liver	normal	not available	not available	not available	not available	3	Human liver S9 fractions	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA3.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA3.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-4	Homo sapiens	Liver	normal	not available	not available	not available	not available	4	Human liver S9 fractions	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA4.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA4.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-5	Homo sapiens	Liver	normal	not available	not available	not available	not available	5	Human liver S9 fractions	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA5.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA5.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-6	Homo sapiens	Liver	normal	not available	not available	not available	not available	6	Human liver S9 fractions	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA6.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA6.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-7	Homo sapiens	Liver	normal	not available	not available	not available	not available	7	Human liver S9 fractions	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA7.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA7.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-8	Homo sapiens	Liver	normal	not available	not available	not available	not available	8	Human liver S9 fractions	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA8.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA8.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-9	Homo sapiens	Liver	normal	not available	not available	not available	not available	9	Human liver S9 fractions	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA9.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA9.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
PXD010912-Sample-10	Homo sapiens	Liver	normal	not available	not available	not available	not available	10	Human liver S9 fractions	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	HLS9_DIA10.mzML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD010912/HLS9_DIA10.wiff	1	1	AC=MS:1001251;NT=Trypsin	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	5 ppm	400-1250	100-1500	10 ppm	normal
