Esto estaba dentro del .raw SerumVSPlasma, pero luego pone liver etc																																																		
Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F1	Library5_F1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5593	21365	0	27211	15519	0	11692	1732	1606	0	126	6.37	10.35	NaN	1.08	1058	301533	18607	6.17	596	3.2	42585	14236	13863	33.43	39.25	1135	7.97	+	0.69178	0.96207	0.4902	0.73145	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F2	Library5_F2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5007	22257	0	27802	16712	0	11090	1842	1714	0	128	6.63	10.26	NaN	1.15	1079	281176	19579	6.96	591	3.02	41281	15332	14934	37.14	43.67	1209	7.89	+	0.70716	0.97753	0.49044	0.72295	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F3	Library5_F3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5188	22836	0	28567	17105	0	11462	1949	1841	0	108	6.82	10.76	NaN	0.94	1169	281501	20077	7.13	599	2.98	42929	15708	15334	36.59	42.5	1196	7.61	+	0.6561	0.91022	0.45282	0.66618	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F4	Library5_F4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4403	23915	0	30047	17783	0	12264	1989	1840	0	149	6.62	10.35	NaN	1.21	1214	261319	20982	8.03	567	2.7	43339	16518	16128	38.11	44.76	1121	6.79	+	0.73767	0.9817	0.50933	0.71522	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F5	Library5_F5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3988	22022	0	27391	16653	0	10738	1731	1619	0	112	6.32	9.72	NaN	1.04	1144	259580	19513	7.52	467	2.39	41927	15539	15060	37.06	44.49	1009	6.49	+	0.74471	1.0181	0.51098	0.74796	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F6	Library5_F6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4136	22666	0	28203	17129	0	11074	1825	1721	0	104	6.47	10.05	NaN	0.94	1138	248761	20135	8.09	527	2.62	42526	15972	15529	37.56	44.82	1009	6.32	+	0.68731	0.9296	0.46098	0.66387	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F7	Library5_F7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4324	21858	0	27156	16560	0	10596	1585	1443	0	142	5.84	8.71	NaN	1.34	989	248551	19334	7.78	551	2.85	41662	15390	14979	36.94	44.64	1023	6.65	+	0.72448	0.97311	0.5025	0.72039	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F8	Library5_F8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4014	20698	0	25908	15488	0	10420	1420	1350	0	70	5.48	8.72	NaN	0.67	928	240859	18215	7.56	520	2.85	41307	14471	14060	35.03	43.02	899	6.21	+	0.72038	0.97598	0.4871	0.70277	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F9	Library5_F9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5350	21206	0	27200	15212	0	11988	1725	1575	0	150	6.34	10.35	NaN	1.25	968	279086	18400	6.59	586	3.18	38408	13887	13549	36.16	40.79	1117	8.04	+	0.71241	0.98274	0.49639	0.72894	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F10	Library5_F10	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		5039	22068	0	27365	16771	0	10594	1918	1810	0	108	7.01	10.79	NaN	1.02	1198	290978	19625	6.74	608	3.1	41514	15412	15055	37.12	41.47	1200	7.79	+	0.71673	0.96224	0.51968	0.75109	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F11	Library5_F11	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3995	21855	0	27402	16308	0	11094	1879	1821	0	58	6.86	11.17	NaN	0.52	1134	257875	19188	7.44	590	3.07	40787	14989	14574	36.75	41.72	1181	7.88	+	0.68843	0.93711	0.49656	0.71706	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F12	Library5_F12	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3882	22389	0	28165	16613	0	11552	2151	2007	0	144	7.64	12.08	NaN	1.25	1266	242394	19611	8.09	596	3.04	40612	15260	14836	37.58	42.77	1136	7.44	+	0.66835	0.9146	0.48641	0.71682	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_1_F13	Library5_F13	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		4025	22289	0	27911	16667	0	11244	2207	2076	0	131	7.91	12.46	NaN	1.17	1357	234918	19607	8.35	562	2.87	39994	15395	15052	38.49	43.86	1128	7.33	+	0.64867	0.90092	0.45453	0.66916	
