pxd	pubmed	sdrf url	msstats url	method	samples	run	peptides
MSV000079033-Blood-Plasma-iTRAQ	10.1074/mcp.M114.046813	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.3/msstatsconverter/	iTRAQ	4	30	30932
MSV000079033-Blood-Plasma-TMT10	10.1074/mcp.M114.046814	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.2/msstatsconverter/	TMT	10	30	26984
MSV000079033-Blood-Plasma-TMT6	10.1074/mcp.M114.046815	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.1/msstatsconverter/	TMT	6	30	25739
MSV000079033-IgY14-ITRAQ	10.1074/mcp.M114.046816	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.5/msstatsconverter/	iTRAQ	12	89	36149
MSV000079033-IgY14-Supermix-ITRAQ	10.1074/mcp.M114.046817	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/MSV000079033.4/msstatsconverter/	iTRAQ	16	120	66332
PXD002854-erythrocyte	10.1016/j.cels.2016.02.015	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.2/proteomicslfq/	DDA	6	17	4898
PXD002854-plasma	10.1016/j.cels.2016.02.015	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.3/proteomicslfq/	DDA	22	84	3538
PXD002854-serum	10.1016/j.cels.2016.02.015	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD002854.1/proteomicslfq/	DDA	2	70	4778
PXD004242	10.15252/msb.20167357	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD004242/proteomicslfq/	DDA	64	1290	9089
PXD006559	10.1038/s41598-017-18985-5	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/pipeline_info/	http://ftp.pride.ebi.ac.uk/pub/databases/pride/resources/proteomes/absolute-expression/PXD006559/msstatsconverter/	TMT	10	72	72644
