source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[batch]	characteristics[biological replicate]	Material Type	assay name	comment[data file]	comment[file uri]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[instrument identifier]	comment[cleavage agent details]	comment[modification parameters].2	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	comment[MS2 scan range]	factor value[cell line]
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 1	190204_2300_0054n_008sa_m06_s_1.wiff	190204_2300_0054n_008sa_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 2	190208_2300_0054n_008ud_m04_s_1.wiff	190208_2300_0054n_008ud_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 3	190211_2300_005c9_008vb_m04_s_1.wiff	190211_2300_005c9_008vb_m04_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	3	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 4	190331_2300_0059l_00a0o_m06_s_1.wiff	190331_2300_0059l_00a0o_m06_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	4	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 5	190629_2300_0059l_00eaw_m01_s_1.wiff	190629_2300_0059l_00eaw_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	5	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P03	1	cell	run 6	190701_2300_005c9_00ebd_m01_s_1.wiff	190701_2300_005c9_00ebd_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	6	NT=TripleTOF 6600;AC=MS:1002533	M01	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P05	1	cell	run 7	191128_b26-t3-16_00ddy_00n3d_m03_s_1.wiff	191128_b26-t3-16_00ddy_00n3d_m03_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	7	NT=TripleTOF 6600;AC=MS:1002533	M03	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 1	Homo sapiens	Haematopoietic and Lymphoid	not available	not available	697	not available	not available	not available	B-Lymphoblastic Leukemia	P05	1	cell	run 8	191201_b26-t4-16_00ddy_00nh1_m01_s_1.wiff	191201_b26-t4-16_00ddy_00nh1_m01_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	8	NT=TripleTOF 6600;AC=MS:1002533	M06	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	697
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 9	190520_6649_0083y_00b2t_m02_s_1.wiff	190520_6649_0083y_00b2t_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	1	NT=TripleTOF 6600;AC=MS:1002533	M04	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
PXD030304-Sample 2	Homo sapiens	Bladder	not available	not available	5637	not available	not available	not available	Bladder Carcinoma	P03	1	cell	run 10	190522_6649_0088k_00bde_m02_s_1.wiff	190522_6649_0088k_00bde_m02_s_1.wiff	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	AC=MS:1002038;NT=label free sample	1	2	NT=TripleTOF 6600;AC=MS:1002533	M02	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	5637
