Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
OSCC-P01,Oral Squamous Cell Carcinoma Study - Proteome-23,44,"Refmix-P29
Not Reported","OSCC_01
Solid Tissue Normal","OSCC_01
Primary Tumor","not available
not available"
OSCC-P04,Oral Squamous Cell Carcinoma Study - Proteome-26,44,"Refmix-P29
Not Reported","OSCC_04
Solid Tissue Normal","OSCC_04
Primary Tumor","not available
not available"
OSCC-P06,Oral Squamous Cell Carcinoma Study - Proteome-30,44,"Refmix-P29
Not Reported","OSCC_06
Solid Tissue Normal","OSCC_06
Primary Tumor","not available
not available"
OSCC-P10,Oral Squamous Cell Carcinoma Study - Proteome-8,44,"Refmix-P29
Not Reported","OSCC_10
Solid Tissue Normal","OSCC_10
Primary Tumor","not available
not available"
OSCC-P13,Oral Squamous Cell Carcinoma Study - Proteome-1,44,"Refmix-P29
Not Reported","OSCC_13
Solid Tissue Normal","OSCC_13
Primary Tumor","not available
not available"
OSCC-P14,Oral Squamous Cell Carcinoma Study - Proteome-21,44,"Refmix-P29
Not Reported","OSCC_14
Solid Tissue Normal","OSCC_14
Primary Tumor","not available
not available"
OSCC-P19,Oral Squamous Cell Carcinoma Study - Proteome-4,44,"Refmix-P29
Not Reported","OSCC_19
Solid Tissue Normal","OSCC_19
Primary Tumor","not available
not available"
OSCC-P21,Oral Squamous Cell Carcinoma Study - Proteome-14,44,"Refmix-P29
Not Reported","OSCC_21
Solid Tissue Normal","OSCC_21
Primary Tumor","not available
not available"
OSCC-P22,Oral Squamous Cell Carcinoma Study - Proteome-25,44,"Refmix-P29
Not Reported","OSCC_22
Solid Tissue Normal","OSCC_22
Primary Tumor","not available
not available"
OSCC-P23,Oral Squamous Cell Carcinoma Study - Proteome-12,44,"Refmix-P29
Not Reported","OSCC_23
Solid Tissue Normal","OSCC_23
Primary Tumor","not available
not available"
OSCC-P25,Oral Squamous Cell Carcinoma Study - Proteome-37,44,"Refmix-P29
Not Reported","OSCC_25
Solid Tissue Normal","OSCC_25
Primary Tumor","not available
not available"
OSCC-P28,Oral Squamous Cell Carcinoma Study - Proteome-9,44,"Refmix-P29
Not Reported","OSCC_28
Solid Tissue Normal","OSCC_28
Primary Tumor","not available
not available"
OSCC-P32,Oral Squamous Cell Carcinoma Study - Proteome-10,44,"Refmix-P29
Not Reported","OSCC_32
Solid Tissue Normal","OSCC_32
Primary Tumor","not available
not available"
OSCC-P35,Oral Squamous Cell Carcinoma Study - Proteome-7,44,"Refmix-P29
Not Reported","OSCC_35
Solid Tissue Normal","OSCC_35
Primary Tumor","not available
not available"
OSCC-P36,Oral Squamous Cell Carcinoma Study - Proteome-20,44,"Refmix-P29
Not Reported","OSCC_36
Solid Tissue Normal","OSCC_36
Primary Tumor","not available
not available"
OSCC-P37,Oral Squamous Cell Carcinoma Study - Proteome-32,44,"Refmix-P29
Not Reported","OSCC_37
Solid Tissue Normal","OSCC_37
Primary Tumor","not available
not available"
OSCC-P38,Oral Squamous Cell Carcinoma Study - Proteome-2,44,"Refmix-P29
Not Reported","OSCC_38
Solid Tissue Normal","OSCC_38
Primary Tumor","not available
not available"
OSCC-P39,Oral Squamous Cell Carcinoma Study - Proteome-3,44,"Refmix-P29
Not Reported","OSCC_39
Solid Tissue Normal","OSCC_39
Primary Tumor","not available
not available"
OSCC-P40,Oral Squamous Cell Carcinoma Study - Proteome-36,44,"Refmix-P29
Not Reported","OSCC_40
Solid Tissue Normal","OSCC_40
Primary Tumor","not available
not available"
OSCC-P41,Oral Squamous Cell Carcinoma Study - Proteome-35,44,"Refmix-P29
Not Reported","OSCC_41
Solid Tissue Normal","OSCC_41
Primary Tumor","not available
not available"
OSCC-P42,Oral Squamous Cell Carcinoma Study - Proteome-13,44,"Refmix-P29
Not Reported","OSCC_42
Solid Tissue Normal","OSCC_42
Primary Tumor","not available
not available"
OSCC-P43,Oral Squamous Cell Carcinoma Study - Proteome-18,44,"Refmix-P29
Not Reported","OSCC_43
Solid Tissue Normal","OSCC_43
Primary Tumor","not available
not available"
OSCC-P44,Oral Squamous Cell Carcinoma Study - Proteome-27,44,"Refmix-P29
Not Reported","OSCC_44
Solid Tissue Normal","OSCC_44
Primary Tumor","not available
not available"
OSCC-P45,Oral Squamous Cell Carcinoma Study - Proteome-19,44,"Refmix-P29
Not Reported","OSCC_45
Solid Tissue Normal","OSCC_45
Primary Tumor","not available
not available"
OSCC-P46,Oral Squamous Cell Carcinoma Study - Proteome-5,44,"Refmix-P29
Not Reported","OSCC_46
Solid Tissue Normal","OSCC_46
Primary Tumor","not available
not available"
OSCC-P47,Oral Squamous Cell Carcinoma Study - Proteome-24,44,"Refmix-P29
Not Reported","OSCC_47
Solid Tissue Normal","OSCC_47
Primary Tumor","not available
not available"
OSCC-P48,Oral Squamous Cell Carcinoma Study - Proteome-16,44,"Refmix-P29
Not Reported","OSCC_48
Solid Tissue Normal","OSCC_48
Primary Tumor","not available
not available"
