Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[time]	characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[time]	factor value[enrichment process]
Sample 1	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	1	enrichment of phosphorylated Protein	whole organism	run 1	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	2	enrichment of phosphorylated Protein	whole organism	run 2	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	3	enrichment of phosphorylated Protein	whole organism	run 3	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	1	enrichment of phosphorylated Protein	whole organism	run 4	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	2	enrichment of phosphorylated Protein	whole organism	run 5	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	3	enrichment of phosphorylated Protein	whole organism	run 6	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	4	enrichment of phosphorylated Protein	whole organism	run 7	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 5	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	5	enrichment of phosphorylated Protein	whole organism	run 8	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 6	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	6	enrichment of phosphorylated Protein	whole organism	run 9	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_0min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_0min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	0	control	4	enrichment of phosphorylated Protein	whole organism	run 10	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_0min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_0min_B1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	control	0	enrichment of phosphorylated Protein
