Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"JX0008A_Colon_VU","VU Normal Colon Epithelium - Proteome-14","15","JX0008
Solid Tissue Normal"
"JX0008D_Colon_VU","VU Normal Colon Epithelium - Proteome-48","15","JX0008
Solid Tissue Normal"
"JX0025A_Colon_VU","VU Normal Colon Epithelium - Proteome-26","15","JX0025
Solid Tissue Normal"
"JX0025D_Colon_VU","VU Normal Colon Epithelium - Proteome-56","15","JX0025
Solid Tissue Normal"
"JX0030A_Colon_VU","VU Normal Colon Epithelium - Proteome-1","15","JX0030
Solid Tissue Normal"
"JX0030D_Colon_VU","VU Normal Colon Epithelium - Proteome-3","15","JX0030
Solid Tissue Normal"
"JX0041A_Colon_VU","VU Normal Colon Epithelium - Proteome-42","15","JX0041
Solid Tissue Normal"
"JX0041D_Colon_VU","VU Normal Colon Epithelium - Proteome-60","15","JX0041
Solid Tissue Normal"
"JX0052A_Colon_VU","VU Normal Colon Epithelium - Proteome-40","15","JX0052
Solid Tissue Normal"
"JX0052D_Colon_VU","VU Normal Colon Epithelium - Proteome-45","15","JX0052
Solid Tissue Normal"
"JX0062A_Colon_VU","VU Normal Colon Epithelium - Proteome-19","15","JX0062
Solid Tissue Normal"
"JX0062D_Colon_VU","VU Normal Colon Epithelium - Proteome-47","15","JX0062
Solid Tissue Normal"
"JX0076A_Colon_VU","VU Normal Colon Epithelium - Proteome-16","15","JX0076
Solid Tissue Normal"
"JX0076D_Colon_VU","VU Normal Colon Epithelium - Proteome-36","15","JX0076
Solid Tissue Normal"
"JX0079A_Colon_VU","VU Normal Colon Epithelium - Proteome-37","15","JX0079
Solid Tissue Normal"
"JX0079D_Colon_VU","VU Normal Colon Epithelium - Proteome-17","15","JX0079
Solid Tissue Normal"
"JX0088A_Colon_VU","VU Normal Colon Epithelium - Proteome-57","15","JX0088
Solid Tissue Normal"
"JX0088D_Colon_VU","VU Normal Colon Epithelium - Proteome-34","15","JX0088
Solid Tissue Normal"
"JX0093A_Colon_VU","VU Normal Colon Epithelium - Proteome-15","15","JX0093
Solid Tissue Normal"
"JX0093D_Colon_VU","VU Normal Colon Epithelium - Proteome-30","15","JX0093
Solid Tissue Normal"
"JX0102A_Colon_VU","VU Normal Colon Epithelium - Proteome-44","15","JX0102
Solid Tissue Normal"
"JX0102D_Colon_VU","VU Normal Colon Epithelium - Proteome-43","15","JX0102
Solid Tissue Normal"
"JX0108A_Colon_VU","VU Normal Colon Epithelium - Proteome-6","15","JX0108
Solid Tissue Normal"
"JX0108D_Colon_VU","VU Normal Colon Epithelium - Proteome-27","15","JX0108
Solid Tissue Normal"
"JX0114A_Colon_VU","VU Normal Colon Epithelium - Proteome-51","15","JX0114
Solid Tissue Normal"
"JX0114D_Colon_VU","VU Normal Colon Epithelium - Proteome-23","15","JX0114
Solid Tissue Normal"
"JX0122A_Colon_VU","VU Normal Colon Epithelium - Proteome-53","15","JX0122
Solid Tissue Normal"
"JX0122D_Colon_VU","VU Normal Colon Epithelium - Proteome-55","15","JX0122
Solid Tissue Normal"
"JX0128A_Colon_VU","VU Normal Colon Epithelium - Proteome-49","15","JX0128
Solid Tissue Normal"
"JX0128D_Colon_VU","VU Normal Colon Epithelium - Proteome-9","15","JX0128
Solid Tissue Normal"
"JX0135A_Colon_VU","VU Normal Colon Epithelium - Proteome-50","15","JX0135
Solid Tissue Normal"
"JX0135D_Colon_VU","VU Normal Colon Epithelium - Proteome-5","15","JX0135
Solid Tissue Normal"
"JX0141A_Colon_VU","VU Normal Colon Epithelium - Proteome-8","15","JX0141
Solid Tissue Normal"
"JX0141D_Colon_VU","VU Normal Colon Epithelium - Proteome-31","15","JX0141
Solid Tissue Normal"
"JX0150A_Colon_VU","VU Normal Colon Epithelium - Proteome-10","15","JX0150
Solid Tissue Normal"
"JX0150D_Colon_VU","VU Normal Colon Epithelium - Proteome-33","15","JX0150
Solid Tissue Normal"
"JX0156A_Colon_VU","VU Normal Colon Epithelium - Proteome-13","15","JX0156
Solid Tissue Normal"
"JX0156D_Colon_VU","VU Normal Colon Epithelium - Proteome-2","15","JX0156
Solid Tissue Normal"
"JX0163A_Colon_VU","VU Normal Colon Epithelium - Proteome-24","15","JX0163
Solid Tissue Normal"
"JX0163D_Colon_VU","VU Normal Colon Epithelium - Proteome-39","15","JX0163
Solid Tissue Normal"
"JX0169A_Colon_VU","VU Normal Colon Epithelium - Proteome-12","15","JX0169
Solid Tissue Normal"
"JX0169D_Colon_VU","VU Normal Colon Epithelium - Proteome-32","15","JX0169
Solid Tissue Normal"
"JX0176A_Colon_VU","VU Normal Colon Epithelium - Proteome-41","15","JX0176
Solid Tissue Normal"
"JX0176D_Colon_VU","VU Normal Colon Epithelium - Proteome-18","15","JX0176
Solid Tissue Normal"
"JX0186A_Colon_VU","VU Normal Colon Epithelium - Proteome-38","15","JX0186
Solid Tissue Normal"
"JX0186D_Colon_VU","VU Normal Colon Epithelium - Proteome-52","15","JX0186
Solid Tissue Normal"
"JX0193A_Colon_VU","VU Normal Colon Epithelium - Proteome-28","15","JX0193
Solid Tissue Normal"
"JX0193D_Colon_VU","VU Normal Colon Epithelium - Proteome-29","15","JX0193
Solid Tissue Normal"
"JX0201A_Colon_VU","VU Normal Colon Epithelium - Proteome-35","15","JX0201
Solid Tissue Normal"
"JX0201D_Colon_VU","VU Normal Colon Epithelium - Proteome-7","15","JX0201
Solid Tissue Normal"
"JX0211A_Colon_VU","VU Normal Colon Epithelium - Proteome-4","15","JX0211
Solid Tissue Normal"
"JX0211D_Colon_VU","VU Normal Colon Epithelium - Proteome-21","15","JX0211
Solid Tissue Normal"
"JX0223A_Colon_VU","VU Normal Colon Epithelium - Proteome-22","15","JX0223
Solid Tissue Normal"
"JX0223D_Colon_VU","VU Normal Colon Epithelium - Proteome-25","15","JX0223
Solid Tissue Normal"
"JX0230A_Colon_VU","VU Normal Colon Epithelium - Proteome-20","15","JX0230
Solid Tissue Normal"
"JX0230D_Colon_VU","VU Normal Colon Epithelium - Proteome-54","15","JX0230
Solid Tissue Normal"
"JX0236A_Colon_VU","VU Normal Colon Epithelium - Proteome-11","15","JX0236
Solid Tissue Normal"
"JX0236D_Colon_VU","VU Normal Colon Epithelium - Proteome-46","15","JX0236
Solid Tissue Normal"
