source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD003028-sample-1	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run1	1	20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-2	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run2	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-3	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run3	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-4	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run4	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-5	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run5	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-6	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run6	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-7	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run7	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-8	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run8	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-9	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run9	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-10	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run10	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-11	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run11	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-12	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run12	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-13	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run13	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-14	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run14	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-15	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run15	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-16	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run16	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-17	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run17	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-18	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run18	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-19	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run19	1	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
