Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"CPTAC_PDA_DIA_JHU_C3L-00017_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-113","1","C3L-00017
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00017_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-158","1","C3L-00017
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00102_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-176","1","C3L-00102
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00102_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-32","1","C3L-00102
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00189_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-54","1","C3L-00189
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00189_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-89","1","C3L-00189
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00277_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-48","1","C3L-00277
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00277_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-34","1","C3L-00277
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00395_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-63","1","C3L-00395
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00395_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-43","1","C3L-00395
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00401_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-33","1","C3L-00401
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00401_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-99","1","C3L-00401
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00589_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-96","1","C3L-00589
Solid Tissue Normal
Disqualified"
"CPTAC_PDA_DIA_JHU_C3L-00589_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-3","1","C3L-00589
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00598_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-57","1","C3L-00598
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00599_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-163","1","C3L-00599
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00599_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-64","1","C3L-00599
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00622_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-75","1","C3L-00622
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00622_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-119","1","C3L-00622
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00625_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-129","1","C3L-00625
Solid Tissue Normal"
"CPTAC_PDA_DIA_JHU_C3L-00625_Tumor.raw","CPTAC PDA Discovery Study - DIA Proteome-47","1","C3L-00625
Primary Tumor"
"CPTAC_PDA_DIA_JHU_C3L-00640_NAT.raw","CPTAC PDA Discovery Study - DIA Proteome-77","1","C3L-00640
Solid Tissue Normal"
