source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[spiked compound]
PXD007145-Sample-1	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=1	1	enrichment of phosphorylated Protein	whole organism	run 1	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=1
PXD007145-Sample-2	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=4	1	enrichment of phosphorylated Protein	whole organism	run 2	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=4
PXD007145-Sample-3	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=10	1	enrichment of phosphorylated Protein	whole organism	run 3	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=10
PXD007145-Sample-1	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=1	1	enrichment of phosphorylated Protein	whole organism	run 4	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=1
PXD007145-Sample-2	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=4	1	enrichment of phosphorylated Protein	whole organism	run 5	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=4
PXD007145-Sample-3	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=10	1	enrichment of phosphorylated Protein	whole organism	run 6	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=10
PXD007145-Sample-1	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=1	1	enrichment of phosphorylated Protein	whole organism	run 7	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=1
PXD007145-Sample-2	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=4	1	enrichment of phosphorylated Protein	whole organism	run 8	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=4
PXD007145-Sample-3	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=10	1	enrichment of phosphorylated Protein	whole organism	run 9	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=10
PXD007145-Sample-1	Homo sapiens	Uterus	not available	not available	Hela	not available	not available	not available	SP=Yeast;CT=Mixture;QY=1	1	enrichment of phosphorylated Protein	whole organism	run 10	proteomic profiling by mass spectrometry	20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/03/PXD007145/20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_1.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Yeast;CT=Mixture;QY=1
