source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD038669-DIA-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	1	not applicable	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-1	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	1	not applicable	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-2	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	2	not applicable	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-2	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	2	not applicable	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_HighOxy_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-3	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	3	not applicable	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-3	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	3	not applicable	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-4	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	4	not applicable	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-4	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	4	not applicable	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_LowOxy_Plasma_2_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-5	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	5	not applicable	220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_01	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_01.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_01.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
PXD038669-DIA-Sample-5	Homo sapiens	blood plasma	not available	not applicable	not available	not available	not available	not available	normal	no depletion	5	not applicable	220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_02	proteomic profiling by mass spectrometry	220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_02.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD038669/220729_60SPD_DIA_Quant_Desalt_Plasma_1_FixVol_02.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003094; NT=Orbitrap Exploris 240	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=Data-Independent Acquisition;AC=PRIDE:0000450	not available	20 ppm	10 ppm	blood plasma
