source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022011-sample-1	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run1	1	qExHF01_09184.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09184.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-2	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run2	1	qExHF01_09185.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09185.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-3	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run3	1	qExHF01_09186.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09186.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-4	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run4	1	qExHF01_09187.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09187.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-5	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run5	1	qExHF01_09188.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09188.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-6	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run6	1	qExHF01_09189.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09189.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-7	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run7	1	qExHF01_09190.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09190.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-8	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run8	1	qExHF01_09191.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09191.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-9	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run9	1	qExHF01_09192.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09192.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
PXD022011-sample-10	Homo sapiens	Platelet	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run10	1	qExHF01_09193.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD022011/qExHF01_09193.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	27% NCE	10 ppm	0.02 Da	Platelet
