source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[batch]	characteristics[biological replicate]	characteristics[individual]	Material Type	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	characteristics[phenotype]
PXD000672-Sample-1	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	1		tissue	run 1	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_001c_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_001c_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-2	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	1		tissue	run 2	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_002_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_002_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-3	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	2		tissue	run 3	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_003_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_003_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-4	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	2		tissue	run 4	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_004_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_004_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-5	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_ccRCC	3		tissue	run 5	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_005_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_005_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-6	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	ccRCC	3		tissue	run 6	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_006_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_006_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-7	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_pRCC	4		tissue	run 7	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_007_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_007_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-8	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	pRCC	4		tissue	run 8	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_008_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_008_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
PXD000672-Sample-9	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	normal	normal_chRCC	5		tissue	run 9	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_009_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_009_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	normal
PXD000672-Sample-10	Homo sapiens	kidney	not available	not available	not applicable	not applicable	not applicable	renal cell carcinoma	tumor	chRCC	5		tissue	run 10	proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition;AC=NCIT:C161786	guot_L130410_010_SW.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD000672/guot_L130410_010_SW.wiff	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001251;NT=Trypsin	5 ppm	0.1 Da	tumor
