Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"01CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-24","15","WHIM 16
Xenograft Tissue"
"02CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-25","15","WHIM 2
Xenograft Tissue"
"03CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-6","15","WHIM 16
Xenograft Tissue"
"04CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-23","15","WHIM 2
Xenograft Tissue"
"05CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-10","15","WHIM 16
Xenograft Tissue"
"06CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-18","15","WHIM 2
Xenograft Tissue"
"07CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-17","15","WHIM 16
Xenograft Tissue"
"08CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-11","15","WHIM 2
Xenograft Tissue"
"09CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-3","15","WHIM 16
Xenograft Tissue"
"10CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-28","15","WHIM 2
Xenograft Tissue"
"11CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-1","15","WHIM 16
Xenograft Tissue"
"12CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-7","15","WHIM 2
Xenograft Tissue"
"13CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-19","15","WHIM 16
Xenograft Tissue"
"14CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-4","15","WHIM 2
Xenograft Tissue"
"15CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-21","15","WHIM 16
Xenograft Tissue"
"16CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-29","15","WHIM 2
Xenograft Tissue"
"17CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-31","15","WHIM 16
Xenograft Tissue"
"18CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-15","15","WHIM 2
Xenograft Tissue"
"19CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-13","15","WHIM 16
Xenograft Tissue"
"20CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-8","15","WHIM 2
Xenograft Tissue"
"21CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-2","15","WHIM 16
Xenograft Tissue"
"22CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-32","15","WHIM 2
Xenograft Tissue"
"23CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-9","15","WHIM 16
Xenograft Tissue"
"24CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-12","15","WHIM 2
Xenograft Tissue"
"25CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-22","15","WHIM 16
Xenograft Tissue"
"26CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-14","15","WHIM 2
Xenograft Tissue"
"27CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-30","15","WHIM 16
Xenograft Tissue"
"28CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-27","15","WHIM 2
Xenograft Tissue"
"29CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-5","15","WHIM 16
Xenograft Tissue"
"30CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-26","15","WHIM 2
Xenograft Tissue"
"31CompRef_P6_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-20","15","WHIM 16
Xenograft Tissue"
"32CompRef_P5_VU","TCGA Colorectal Cancer CompRef Samples - Proteome-16","15","WHIM 2
Xenograft Tissue"
