Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00103_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-106","1","C3L-00103
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00369_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-28","1","C3L-00369
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-91","1","C3L-00418
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00447_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-15","1","C3L-00447
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00581_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-39","1","C3L-00581
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00583_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-41","1","C3L-00583
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-96","1","C3L-00606
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00907_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-34","1","C3L-00907
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01286_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-77","1","C3L-01286
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01287_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-102","1","C3L-01287
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01603_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-21","1","C3L-01603
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01607_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-25","1","C3L-01607
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01836_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-92","1","C3L-01836
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01861_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-120","1","C3L-01861
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00148_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-23","1","C3N-00148
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00149_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-103","1","C3N-00149
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00150_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-4","1","C3N-00150
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00168_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-16","1","C3N-00168
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00177_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-112","1","C3N-00177
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00194_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-70","1","C3N-00194
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00310_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-72","1","C3N-00310
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00312_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-13","1","C3N-00312
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00314_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-76","1","C3N-00314
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00317_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-131","1","C3N-00317
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00320_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-56","1","C3N-00320
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00390_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-48","1","C3N-00390
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00437_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-33","1","C3N-00437
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00494_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-46","1","C3N-00494
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00573_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-52","1","C3N-00573
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-84","1","C3N-00577
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00646_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-10","1","C3N-00646
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-79","1","C3N-00733
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00852_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-80","1","C3N-00852
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00953_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-97","1","C3N-00953
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01200_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-36","1","C3N-01200
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01214_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-3","1","C3N-01214
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01220_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-114","1","C3N-01220
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01261_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-31","1","C3N-01261
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01522_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-125","1","C3N-01522
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-01524_T.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-132","1","C3N-01524
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000063_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-99","1","C3L-00103
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000065_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-49","1","C3L-00103
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000647_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-86","1","C3L-00369
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000652_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-83","1","C3L-00369
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000664_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-61","1","C3L-00418
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000667_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-90","1","C3L-00418
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000686_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-110","1","C3L-00447
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000691_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-29","1","C3L-00447
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20200605_LUMOS_CPT000733_ITH_01.raw","CPTAC CCRCC Confirmatory Study - Intratumor Heterogeneity - DIA Proteome-126","1","C3L-00581
Primary Tumor"
