source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_2.raw	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_3.raw	1	2	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_4.raw	1	3	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_5.raw	1	4	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_6.raw	1	5	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_7.raw	1	6	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_8.raw	1	7	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_9.raw	1	8	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_11.raw	1	9	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
PXD021482-Sample 1	Homo sapiens	Brain	Medulloblastoma	White	6Y	not available	male	D283 Med	not applicable	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20200721_cell_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD021482/20200721_cell_12.raw	1	10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.05 Da	Brain
