Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"GUOT_L130410_001C_SW","SRM25730263-1","1","CA25730263-1
Normal"
"GUOT_L130410_002_SW","SRM25730263-2","1","CA25730263-1
Tumor"
"GUOT_L130410_003_SW","SRM25730263-3","1","CA25730263-2
Normal"
"GUOT_L130410_004_SW","SRM25730263-4","1","CA25730263-2
Tumor"
"GUOT_L130410_005_SW","SRM25730263-5","1","CA25730263-3
Normal"
"GUOT_L130410_006_SW","SRM25730263-6","1","CA25730263-3
Tumor"
"GUOT_L130410_007_SW","SRM25730263-7","1","CA25730263-4
Normal"
"GUOT_L130410_008_SW","SRM25730263-8","1","CA25730263-4
Tumor"
"GUOT_L130410_009_SW","SRM25730263-9","1","CA25730263-5
Normal"
"GUOT_L130410_010_SW","SRM25730263-10","1","CA25730263-5
Tumor"
"GUOT_L130410_011_SW","SRM25730263-11","1","CA25730263-6
Normal"
"GUOT_L130410_012_SW","SRM25730263-12","1","CA25730263-6
Tumor"
"GUOT_L130410_013_SW","SRM25730263-13","1","CA25730263-7
Normal"
"GUOT_L130410_014_SW","SRM25730263-14","1","CA25730263-7
Tumor"
"GUOT_L130410_015_SW","SRM25730263-15","1","CA25730263-8
Normal"
"GUOT_L130410_016_SW","SRM25730263-16","1","CA25730263-8
Tumor"
"GUOT_L130410_017_SW","SRM25730263-17","1","CA25730263-9
Normal"
"GUOT_L130410_018_SW","SRM25730263-18","1","CA25730263-9
Tumor"
"GUOT_L130410_019_SW","SRM25730263-19","1","CA25730263-1
Normal"
"GUOT_L130410_020_SW","SRM25730263-20","1","CA25730263-1
Tumor"
"GUOT_L130410_021_SW","SRM25730263-21","1","CA25730263-2
Normal"
"GUOT_L130410_022_SW","SRM25730263-22","1","CA25730263-2
Tumor"
"GUOT_L130410_023_SW","SRM25730263-23","1","CA25730263-3
Normal"
"GUOT_L130410_024B_SW","SRM25730263-24","1","CA25730263-3
Tumor"
"GUOT_L130410_025C_SW","SRM25730263-25","1","CA25730263-4
Normal"
"GUOT_L130410_026_SW","SRM25730263-26","1","CA25730263-4
Tumor"
"GUOT_L130410_027_SW","SRM25730263-27","1","CA25730263-5
Normal"
"GUOT_L130410_028_SW","SRM25730263-28","1","CA25730263-5
Tumor"
"GUOT_L130410_029_SW","SRM25730263-29","1","CA25730263-6
Normal"
"GUOT_L130410_030_SW","SRM25730263-30","1","CA25730263-6
Tumor"
"GUOT_L130410_031_SW","SRM25730263-31","1","CA25730263-7
Normal"
"GUOT_L130410_032_SW","SRM25730263-32","1","CA25730263-7
Tumor"
"GUOT_L130410_033_SW","SRM25730263-33","1","CA25730263-8
Normal"
"GUOT_L130410_034_SW","SRM25730263-34","1","CA25730263-8
Tumor"
"GUOT_L130410_035_SW","SRM25730263-35","1","CA25730263-9
Normal"
"GUOT_L130410_036_SW","SRM25730263-36","1","CA25730263-9
Tumor"
