source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[separation]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005200-Sample-1	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 1	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_A_O66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_A_O66.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-2	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 2	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_A_O67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_A_O67.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-3	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 3	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_A_O75.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_A_O75.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-4	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 4	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_A_O76.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_A_O76.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Arg-C; AC=MS:1001303	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-5	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 5	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_G_O69.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_G_O69.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-6	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 6	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_G_O70.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_G_O70.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-7	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 7	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_G_O78.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_G_O78.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-8	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 8	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_G_O79.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_G_O79.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-9	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 9	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_L_O63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_L_O63.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-10	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 10	proteomic profiling by mass spectrometer	20151124_QEp7_JRW_SA_L_O64.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20151124_QEp7_JRW_SA_L_O64.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
