source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[HiRIEF PH range]	characteristics[mass]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 1	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr01.raw	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 2	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr02.raw	2	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 3	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr03.raw	3	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 4	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr04.raw	4	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 5	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr05.raw	5	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 6	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr06.raw	6	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 7	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr07.raw	7	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 8	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr08.raw	8	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 9	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr09.raw	9	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 10	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr10.raw	10	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 11	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr11.raw	11	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 12	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr12.raw	12	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 13	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr13.raw	13	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 14	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr14.raw	14	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 15	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr15.raw	15	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 16	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr16.raw	16	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 17	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr17.raw	17	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 18	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr18.raw	18	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 19	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr19.raw	19	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
PXD010899-Sample-1	Homo Sapiens	Blood plasma	not available	not available	not available	female	not available	normal	not applicable	1	3.7-4.05	1mg	run 20	proteomic profiling by mass spectrometer	MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MPAS_plasma_140629_IPG370-405_1000ug_7of15_fr20.raw	20	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Blood plasma
