source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[depletion method]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD008441-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_10	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_10.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_10.raw	1	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-2	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_11	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_11.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_11.raw	2	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-3	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_12	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_12.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_12.raw	3	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-4	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_13	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_13.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_13.raw	4	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-5	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_14	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_14.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_14.raw	5	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-6	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_15	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_15.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_15.raw	6	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-7	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_16	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_16.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_16.raw	7	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-8	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_17	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_17.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_17.raw	8	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-9	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_18	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_18.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_18.raw	9	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-10	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_19	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_19.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_19.raw	10	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-11	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_20	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_20.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_20.raw	11	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-12	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_21	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_21.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_21.raw	12	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-13	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_22	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_22.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_22.raw	13	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-14	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_23	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_23.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_23.raw	14	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-15	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_24	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_24.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_24.raw	15	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-16	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_25	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_25.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_25.raw	16	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-17	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_3	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_3.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_3.raw	17	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-18	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_4	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_4.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_4.raw	18	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-19	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_5	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_5.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_5.raw	19	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
PXD008441-Sample-20	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	Normal	depleted	LAP enrichment	1	not applicable	201300926_ZY_Human_pool7_LP_RP_6	proteomic profiling by mass spectrometry	201300926_ZY_Human_pool7_LP_RP_6.raw	https://www.iprox.cn//page/project.html?id=IPX0000951000/201300926_ZY_Human_pool7_LP_RP_6.raw	20	High-pH RPLC Separation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	AC=MS:1001911;NT=Q Exactive	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	27 NCE	20 ppm	0.05 Da	blood plasma
