		No lo tengo claro								Triplicados	Vuelvo a empezar?																
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
20140707_QEp1_LC5_PhGe_SA_4_19_e1_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_e2_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_e3_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_f1_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_f2_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_f3_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_g1_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_g2_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_g3_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_h1_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_h2_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_h3_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_i1_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20140707_QEp1_LC5_PhGe_SA_4_19_i2_20min	Homo sapiens	Serum/Plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_SerumVsPlasma.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_SerumVsPlasma.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
