source name	characteristics[organism]	characteristics[cell line]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell count]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell count]
PXD054944-Sample-1	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_01.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_01.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-2	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	2	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_02.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_02.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-3	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	3	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_03.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_03.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-4	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	4	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_04.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_04.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-5	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	5	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_05.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_05.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-6	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	6	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_06.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_06.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-7	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	7	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_07.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_07.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-8	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	8	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_08.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_08.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-9	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	9	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_09.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_09.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
PXD054944-Sample-10	Homo sapiens	Hela	Uterus	31Y	not available	Female	Black	Adenocarcinoma	1	epithelial cell	10	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_10.raw	https://download.iprox.cn/IPX0009469000/IPX0009469003/20240117_P96-2_Hela1_1Cell_80SPD_DIA_FAIMS-48_20Th_40ms_10.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	20 ppm	0.5 Da	1
