source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	characteristics[quality]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000242-Sample-1	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P5	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-2	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P6	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_127n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-3	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P5	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_127c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-4	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P5	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_128n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-5	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P6	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_128c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-6	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P5	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_129n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-7	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P6	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_129c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-8	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P6	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_130n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-9	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P5	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_130c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000242-Sample-10	human + mouse	not available	not available	not available	not available	not available	Breast cancer	1	P6	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	01CPTAC_CompRef_W_BI_20160908_BL_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/80/01CPTAC_CompRef_W_BI_20160908_BL_f01.raw?Expires=1685861450&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Rku4Jc1LNa0MTiPiqO0coM4BDjcZw9JEyDy3490epxB2rMWfVArnrjHyntHynQMTuX7mxBqH2HGrdBJpI96Czr4LYcRzD-3vaNd3NaYyeJQ8wHGXsT8j7~3GcQ51a5fzywe9nplrU7FCBT7EZnJufvxTV2jl-Rw5FEBWFLTe8u5T2MBMfnXrEBOBLmIHTAEixyxExNq2WZnGDK8ZbGCVGBSpukCQhf5XWN9TktI2EEmqvlXp~buwwqewnZmkjpieEKrMVTqbfa~wTTkJpmMSCiRv6PzbTXR2bOcZHGpYTUAz981jiQOB0PrmpIrCRkq3DhBxJDstXDzahzeS2iraGA__	1	1	tmt_131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Breast cancer	normal	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Carbamidomethyl;MT=Fixed;TA=U;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
