source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[cell part]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026135-Sample 1	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 1	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_a.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 2	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 2	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_b.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 3	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 3	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F1_c.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 4	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 4	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_a.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 5	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 5	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_b.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 6	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 6	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F2_c.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 7	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 7	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_a.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 8	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 8	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_b.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 9	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 9	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F3_c.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026135-Sample 10	Homo Sapiens	Blood	regulatory T-cell	Purchased from SCT	1	not available	not available	not available	not available	normal	1	run 10	proteomic profiling by mass spectrometer	20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026135/20181018_rmi049_75idPLRPS_APA_T-Reg_Cyto_F4_a.raw	4	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
