source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[cell part]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026130-Sample 1	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 1	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_a.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026130-Sample 2	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 2	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_b.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000628	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001314	NT=Orbitrap Fusion Lumos;AC=MS:1002733	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:5	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:36	10 ppm	2.2 Da	Blood
PXD026130-Sample 3	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 3	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F1_c.raw	1	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000629	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001315	NT=Orbitrap Fusion Lumos;AC=MS:1002734	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:6	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:37	10 ppm	2.2 Da	Blood
PXD026130-Sample 4	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 4	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_a.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000630	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001316	NT=Orbitrap Fusion Lumos;AC=MS:1002735	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:7	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:38	10 ppm	2.2 Da	Blood
PXD026130-Sample 5	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 5	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_b.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000631	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001317	NT=Orbitrap Fusion Lumos;AC=MS:1002736	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:8	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:39	10 ppm	2.2 Da	Blood
PXD026130-Sample 6	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 6	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F2_c.raw	2	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000632	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001318	NT=Orbitrap Fusion Lumos;AC=MS:1002737	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:9	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:40	10 ppm	2.2 Da	Blood
PXD026130-Sample 7	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 7	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_a.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000633	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001319	NT=Orbitrap Fusion Lumos;AC=MS:1002738	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:10	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:41	10 ppm	2.2 Da	Blood
PXD026130-Sample 8	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 8	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_b.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000634	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001320	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:11	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:42	10 ppm	2.2 Da	Blood
PXD026130-Sample 9	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 9	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F3_c.raw	3	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000635	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001321	NT=Orbitrap Fusion Lumos;AC=MS:1002740	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:12	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:43	10 ppm	2.2 Da	Blood
PXD026130-Sample 10	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 10	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_a.raw	4	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000636	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001322	NT=Orbitrap Fusion Lumos;AC=MS:1002741	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:13	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:44	10 ppm	2.2 Da	Blood
PXD026130-Sample 11	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 11	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_b.raw	4	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000637	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001323	NT=Orbitrap Fusion Lumos;AC=MS:1002742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:14	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:45	10 ppm	2.2 Da	Blood
PXD026130-Sample 12	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 12	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F4_c.raw	4	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000638	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001324	NT=Orbitrap Fusion Lumos;AC=MS:1002743	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:15	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:46	10 ppm	2.2 Da	Blood
PXD026130-Sample 13	Homo Sapiens	Blood	macrophages	purchased from SCT	1	not available	not available	not available	not available	normal	1	run 13	proteomic profiling by mass spectrometer	20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F5_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026130/20180920_rmi049_75idPLRPS_APA_Macrophage_Cyto_F5_a.raw	5	cytosolic fraction	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000639	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001325	NT=Orbitrap Fusion Lumos;AC=MS:1002744	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:16	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:47	10 ppm	2.2 Da	Blood
