source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	Material Type	assay name	characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[organism part]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f01.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f01.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f02.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f02.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f03.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f03.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f04.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f04.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f05.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f05.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f06.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f06.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f07.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f07.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f08.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f08.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	20140102_Adult_Choroid_bRP_ECBC_Elite_f09.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/20140102_Adult_Choroid_bRP_ECBC_Elite_f09.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
PXD002273-Sample-1	Homo sapiens	choroid	not available	not available	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	Choroid_bRPLC_11.raw	http://ftp.ebi.ac.uk/pride-archive/2018/04/PXD002273/Choroid_bRPLC_11.raw	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1001910;NT=LTQ Orbitrap Elite	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	choroid
