Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413347	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	888	http://www.ebi.ac.uk/efo/EFO_0006531	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		not determined		not determined		888	http://www.ebi.ac.uk/efo/EFO_0006531	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413348	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	105KC	http://www.ebi.ac.uk/efo/EFO_0006354	sarcomatiod		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	cartilage tissue	http://purl.obolibrary.org/obo/UBERON_0002418	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	66 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		40%DMEM, 40%MEM, 10%F-12, 10% FBS, 100nM Hydrocortisone, 100ng/mL Insulin, 25ug/ml L-Ascorbic Acid		Complete growth medium, 90%; DMSO, 10%		105KC	http://www.ebi.ac.uk/efo/EFO_0006354	cartilage tissue	http://purl.obolibrary.org/obo/UBERON_0002418	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR413349	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	143B	http://www.ebi.ac.uk/efo/EFO_0006355	sarcomatiod		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	bone tissue	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	13 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		143B	http://www.ebi.ac.uk/efo/EFO_0006355	bone tissue	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR413350	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	23132/87	http://www.ebi.ac.uk/efo/EFO_0006528	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	72 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		23132/87	http://www.ebi.ac.uk/efo/EFO_0006528	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR413351	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	501A	http://www.ebi.ac.uk/efo/EFO_0006356	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		501A	http://www.ebi.ac.uk/efo/EFO_0006356	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413352	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	537 MEL	http://www.ebi.ac.uk/efo/EFO_0006357	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		537 MEL	http://www.ebi.ac.uk/efo/EFO_0006357	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413353	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	59M	http://www.ebi.ac.uk/efo/EFO_0006358	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		DMEM, 10% FBS, 2mM Gln, 1mM NaP, 20IU/L Bovine Insulin		90% FBS; 10% DMSO		59M	http://www.ebi.ac.uk/efo/EFO_0006358	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR413354	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	624 mel	http://www.ebi.ac.uk/efo/EFO_0006359	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available		not available		not available		DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		624 mel	http://www.ebi.ac.uk/efo/EFO_0006359	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413355	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	769-P	http://www.ebi.ac.uk/efo/EFO_0002099	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	63 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		769-P	http://www.ebi.ac.uk/efo/EFO_0002099	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
ERR413356	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	786-O	http://www.ebi.ac.uk/efo/EFO_0005707	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	58 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		786-O	http://www.ebi.ac.uk/efo/EFO_0005707	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
