Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
None	0.0	16085	72.4060
First isotopic peak	1.00235	718	3.2330
Carbamylation	43.005814	515	2.3180
Oxidation or Hydroxylation	15.994915	249	1.1210
Second isotopic peak	2.0047	227	1.0220
Pyro-glu from Q/Loss of ammonia	-17.026549	207	0.9320
S-Ethylcystine from Serine	44.008456	191	0.8600
dihydroxy	31.989829	113	0.5090
Amidation	-0.984016	92	0.4150
Deamidation	0.984016	92	0.4140
Replacement of 3 protons by iron	52.911464	91	0.4100
di-Methylation/Acetaldehyde +28/Ethylation	28.0313	91	0.4100
Third isotopic peak	3.0070500000000004	86	0.3880
Unannotated mass-shift 0.9590	0.959	85	0.3840
Isotopic peak error	-1.00235	76	0.3440
Unannotated mass-shift -0.0564	-0.0564	75	0.3390
persulfide	31.972071	65	0.2930
Unannotated mass-shift 284.1256	284.1256	63	0.2840
Unannotated mass-shift 61.9828	61.9828	63	0.2840
Acetylation	42.010565	60	0.2700
Unannotated mass-shift 0.0372	0.0372	60	0.2710
Lactosylation	324.105647	57	0.2570
deuterated methyl ester	17.03448	54	0.2430
Iodoacetamide derivative/Addition of Glycine/Addition of G	57.021464	53	0.2390
Dehydration/Pyro-glu from E	-18.010565	49	0.2210
Unannotated mass-shift 54.0468	54.0468	48	0.2160
Unannotated mass-shift -0.1038	-0.1038	45	0.2030
Methylation	14.01565	45	0.2030
Unannotated mass-shift -0.0910	-0.091	36	0.1630
2-amino-3-oxo-butanoic_acid	-2.01565	36	0.1620
Unannotated mass-shift 195.0878	195.0878	33	0.1490
DTT adduct of cysteine	151.996571	33	0.1490
Unannotated mass-shift -116.0596	-116.0596	25	0.1130
Unannotated mass-shift 387.0096	387.0096	20	0.0900
Formylation	27.994915	17	0.0770
amidination of lysines or N-terminal amines with methyl acetimidate	41.026549	16	0.0720
Unannotated mass-shift 350.1070	350.107	14	0.0630
Unannotated mass-shift 367.0836	367.0836	12	0.0540
Unannotated mass-shift 242.0822	242.0822	11	0.0500
monomethylation	18.037835	11	0.0500
Biotin_PEG4	473.219571	11	0.0500
Acetate labeling reagent (N-term & K) (heavy form, +3amu)	45.029395	11	0.0500
glycerylphosphorylethanolamine	197.04531	11	0.0500
Unannotated mass-shift 209.0698	209.0698	11	0.0500
Lysine oxidation to aminoadipic semialdehyde	-1.031634	10	0.0450
Sodium adduct	21.981943	10	0.0450
Unannotated mass-shift 0.0832	0.0832	10	0.0450
Monobromobimane derivative	190.074228	10	0.0450
Iodoacetic acid derivative	58.005479	10	0.0450
