Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
"TCGA_09-1664-01A_61-2094-01A_25-1312-01A_Proteome_JHUZ_20130802","S020-2-31","25","Internal Reference
Not Reported","TCGA-09-1664
Primary Tumor","TCGA-61-2094
Primary Tumor","TCGA-25-1312
Primary Tumor"
"TCGA_13-1409-01A_24-1416-01A_29-1769-01A_Proteome_JHUZ_20130522","S020-2-10","25","Internal Reference
Not Reported","TCGA-13-1409
Primary Tumor","TCGA-24-1416
Primary Tumor","TCGA-29-1769
Primary Tumor"
"TCGA_13-1489-01A_13-1482-01A_13-1504-01A_Proteome_JHUZ_20130903","S020-2-41","25","Internal Reference
Not Reported","TCGA-13-1489
Primary Tumor","TCGA-13-1482
Primary Tumor","TCGA-13-1504
Primary Tumor"
"TCGA_13-1492-01A_36-2530-01A_25-2409-01A_Proteome_JHUZ_20130228","S020-2-1","25","Internal Reference
Not Reported","TCGA-13-1492
Primary Tumor","TCGA-36-2530
Primary Tumor","TCGA-25-2409
Primary Tumor"
"TCGA_13-1497-01A_OVARIAN-CONTROL_61-1995-01A_Proteome_JHUZ_20130802","S020-2-32","25","Internal Reference
Not Reported","TCGA-13-1497
Primary Tumor","OVARIAN-CONTROL
Not Reported","TCGA-61-1995
Primary Tumor"
"TCGA_13-2065-01A_61-1918-01A_61-2613-01A_Proteome_JHUZ_20130625","S020-2-22","25","Internal Reference
Not Reported","TCGA-13-2065
Primary Tumor","TCGA-61-1918
Primary Tumor","TCGA-61-2613
Primary Tumor"
"TCGA_23-1122-01A_24-1464-01A_25-1322-01A_Proteome_JHUZ_20130625","S020-2-23","25","Internal Reference
Not Reported","TCGA-23-1122
Primary Tumor","TCGA-24-1464
Primary Tumor","TCGA-25-1322
Primary Tumor"
"TCGA_24-1103-01A_24-2289-01A_13-1511-01A_Proteome_JHUZ_20130228","S020-2-2","25","Internal Reference
Not Reported","TCGA-24-1103
Primary Tumor","TCGA-24-2289
Primary Tumor","TCGA-13-1511
Primary Tumor"
"TCGA_24-1431-01A_36-1570-01A_13-1488-01A_Proteome_JHUZ_20130625","S020-2-24","25","Internal Reference
Not Reported","TCGA-24-1431
Primary Tumor","TCGA-36-1570
Primary Tumor","TCGA-13-1488
Primary Tumor"
"TCGA_24-1435-01A_30-1887-01A_23-1121-01A_Proteome_JHUZ_20130522","S020-2-11","25","Internal Reference
Not Reported","TCGA-24-1435
Primary Tumor","TCGA-30-1887
Primary Tumor","TCGA-23-1121
Primary Tumor"
"TCGA_24-1436-01A_13-2061-01A_36-2537-01A_Proteome_JHUZ_20130802","S020-2-33","25","Internal Reference
Not Reported","TCGA-24-1436
Primary Tumor","TCGA-13-2061
Primary Tumor","TCGA-36-2537
Primary Tumor"
