source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	technology type	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 25	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	1	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_1.raw	Sclera_IG_1.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 35	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	2	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_2.raw	Sclera_IG_2.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 41	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	3	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_3.raw	Sclera_IG_3.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 42	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	4	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_4.raw	Sclera_IG_4.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 43	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	5	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_5.raw	Sclera_IG_5.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 44	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	6	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_6.raw	Sclera_IG_6.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 45	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	7	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_7.raw	Sclera_IG_7.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 46	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	8	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_8.raw	Sclera_IG_8.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 47	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	9	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_9.raw	Sclera_IG_9.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-2	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	not available	1	proteomic profiling by mass spectrometry	run 26	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_IG_10.raw	Sclera_IG_10.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
