source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	material type	factor value[organism part]
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	1	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_1.raw	Sclera_bRPLC_1.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_10.raw	Sclera_bRPLC_10.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	11	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_11.raw	Sclera_bRPLC_11.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	12	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_12.raw	Sclera_bRPLC_12.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	13	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_13.raw	Sclera_bRPLC_13.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	14	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_14.raw	Sclera_bRPLC_14.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	15	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_15.raw	Sclera_bRPLC_15.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	16	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_16.raw	Sclera_bRPLC_16.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	17	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_17.raw	Sclera_bRPLC_17.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
PXD008999-Sample-1	Homo sapiens	sclera	not available	not available	not available	not available	not available	control	1	not available	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	18	1	http://ftp.ebi.ac.uk/pride-archive/2019/02/PXD008999/Sclera_bRPLC_18.raw	Sclera_bRPLC_18.raw	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.6 Da	tissue	sclera
