source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
2020_01_08_18_26_Orbitrap-Exploris-480_Invalid_SN_0001	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_01_08_18_26_Orbitrap-Exploris-480_Invalid_SN_0001	proteomic profiling by mass spectrometer	7139	2020_01_08_18_26_Orbitrap-Exploris-480_Invalid_SN_0001.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_01_10_02_01_Orbitrap-Exploris-480_Invalid_SN_0001	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_01_10_02_01_Orbitrap-Exploris-480_Invalid_SN_0001	proteomic profiling by mass spectrometer	7141	2020_01_10_02_01_Orbitrap-Exploris-480_Invalid_SN_0001.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_02_28_21_53_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_02_28_21_53_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7184	2020_02_28_21_53_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_02_29_00_50_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_02_29_00_50_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7185	2020_02_29_00_50_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_02_29_09_38_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_02_29_09_38_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7186	2020_02_29_09_38_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_02_29_21_24_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_02_29_21_24_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7187	2020_02_29_21_24_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_03_01_09_09_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_03_01_09_09_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7188	2020_03_01_09_09_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_03_01_15_02_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_03_01_15_02_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7189	2020_03_01_15_02_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_03_01_20_56_Orbitrap-Exploris-480_MA10134C	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_03_01_20_56_Orbitrap-Exploris-480_MA10134C	proteomic profiling by mass spectrometer	7190	2020_03_01_20_56_Orbitrap-Exploris-480_MA10134C.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
2020_04_28_04_28_Orbitrap-Exploris-480_Invalid_SN_0001	Homo sapiens	cervex	Black	31Y	adult	female	HeLa cells	epithelial	adenocarcinoma	1	2020_04_28_04_28_Orbitrap-Exploris-480_Invalid_SN_0001	proteomic profiling by mass spectrometer	7195	2020_04_28_04_28_Orbitrap-Exploris-480_Invalid_SN_0001.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Exploris 480;AC=MS:1003028
