source name	characteristics[organism]	characteristics[cell line]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell count]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[isolation windows]	comment[ion injection times]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD049211-Sample-1	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_01.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_01.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-2	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	2	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_02.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_02.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-3	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	3	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_03.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_03.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-4	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	4	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_04.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_04.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-5	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	5	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_05.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_05.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-6	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	6	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_06.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-7	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	7	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_07.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-8	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	8	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_08.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-9	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	9	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_09.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
PXD049211-Sample-10	Homo sapiens	HCT116	Colon	not available	adult	Male	not available	Colorectal Carcinoma	not available	Spheriods	10	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049211/20230730_AST1_EVO5_ZY_LH_Spheriods_SCP_Control_80SPD_4Th6ms_10.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Astral;AC=MS:1003378	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=HCD;AC=PRIDE:0000590	4Th	6ms	20 ppm	0.5 Da	HCT116?
