source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[developmental stage]	Material Type	assay name	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 564	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_1.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 565	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_2.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 566	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_3.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 567	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_4.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 568	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_5.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 569	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_6.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 570	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_7.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 571	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_8.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 572	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_9.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 573	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_10.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 574	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_11.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_11.raw	A549
PXD004452-Sample-7	Homo Sapiens	Lung	Lung	A549	CVCL_0023	Caucasian	58Y	Male	Lung adenocarcinoma	not available	1	Adult	cell line	run 575	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_12.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable	NT=Gln->pyro-Glu;TA=Q;AC=UNIMOD:28;PP=Any N-term;MT=variable	"NT=Phospho;TA=S,T,Y;MT=Variable;AC=UNIMOD:21"	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	20 ppm	10 ppm	20151020_QE3_UPLC8_DBJ_SA_A549_Rep2_46frac_12.raw	A549
