cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
PK-59	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Carcinoma	CVCL_4897	Homo Sapiens	Unknown	Unknown	no available	SIDM01774	SIDS01659	SIDP01578
SNU-1033	no available	Large Intestine	Colorectal Carcinoma	Rectum	Rectal Adenocarcinoma	CVCL_5002	Homo Sapiens	Female	East Asian	45	SIDM00192	SIDS00612	SIDP00541
SNU-466	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_5064	Homo Sapiens	Male	Unknown	61	SIDM01447	SIDS01466	SIDP01347
IST-MES-2	no available	Lung	Mesothelioma	Pleural Effusion	Pleural Epithelioid Mesothelioma	CVCL_1312	Homo Sapiens	Male	White	71	SIDM01554	SIDS01363	SIDP01247
MUTZ-5	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Peripheral blood	B Acute Lymphoblastic Leukemia	CVCL_1873	Homo Sapiens	Male	Unknown	26	SIDM01689	SIDS01631	SIDP01557
TM-31	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_6735	Homo Sapiens	Female	East Asian	42	SIDM01460	SIDS01493	SIDP01374
SNU-503	NCI-SNU-503	Large Intestine	Colorectal Carcinoma	Abdominal Wall	Rectal Adenocarcinoma	CVCL_5071	Homo Sapiens	Male	East Asian	52	SIDM00497	SIDS00944	SIDP00844
SNU-878	no available	Liver	Hepatocellular Carcinoma	Liver	Hepatocellular Carcinoma	CVCL_5102	Homo Sapiens	Female	East Asian	54	SIDM01435	SIDS01478	SIDP01359
JMSU-1	no available	Bladder	Bladder Carcinoma	Ascites	Bladder Carcinoma	CVCL_2081	Homo Sapiens	Male	East Asian	75	SIDM01587	SIDS01369	SIDP01253
HEC-265	no available	Endometrium	Endometrial Carcinoma	Uterine Corpus	Endometrial Adenocarcinoma	CVCL_2928	Homo Sapiens	Female	East Asian	no available	SIDM01612	SIDS01333	SIDP01218
SNU-61	NCI-SNU-61	Large Intestine	Colorectal Carcinoma	Liver	Rectal Adenocarcinoma	CVCL_5078	Homo Sapiens	Male	East Asian	48	SIDM00194	SIDS00610	SIDP00539
BL-70	IARC/BL70	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Unknown	Burkitt's Lymphoma	CVCL_1088	Homo Sapiens	Male	White	16	SIDM00074	SIDS00748	SIDP00671
253J	no available	Bladder	Bladder Carcinoma	Retroperitoneal Lymph Node	Bladder Carcinoma	CVCL_7935	Homo Sapiens	Male	White	53	SIDM01529	SIDS01236	SIDP01127
NCI-H1339	no available	Lung	Small Cell Lung Carcinoma	Pleural Effusion	Small Cell Lung Carcinoma	CVCL_A472	Homo Sapiens	Female	White	49	SIDM01387	SIDS01410	SIDP01293
SNU-1040	NCI-SNU-1040	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_5003	Homo Sapiens	Male	East Asian	34	SIDM00217	SIDS00606	SIDP00535
A172	A-172 MG	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_0131	Homo Sapiens	Male	Unknown	53	SIDM00799	SIDS00065	SIDP00050
AMO-1	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Ascites	Plasma Cell Myeloma	CVCL_1806	Homo Sapiens	Female	Unknown	64	SIDM00993	SIDS00452	SIDP00389
BE2-M17	SK-N-BE(2)-M17	Peripheral Nervous System	Neuroblastoma	Bone marrow	Neuroblastoma	CVCL_0167	Homo Sapiens	Male	Unknown	2	SIDM01229	SIDS00084	SIDP00067
BEN	no available	Lung	Non-Small Cell Lung Carcinoma	Supraclavicular lymph node	Non-Small Cell Lung Carcinoma	CVCL_1082	Homo Sapiens	Male	Unknown	71	SIDM00990	SIDS00455	SIDP00392
DND-41	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_2022	Homo Sapiens	Male	Unknown	13	SIDM00946	SIDS00498	SIDP00435
NCI-H820	no available	Lung	Non-Small Cell Lung Carcinoma	Lymph Node	Papillary Lung Adenocarcinoma	CVCL_1592	Homo Sapiens	Male	White	53	SIDM00019	SIDS00783	SIDP00701
KMS-21-BM	no available	Unknown	Unknown	Unknown	no available	CVCL_2991	Homo Sapiens	Unknown	Unknown	no available	SIDM01658	SIDS01604	SIDP01542
SNU-175	NCI-SNU-175	Large Intestine	Colorectal Carcinoma	Peritoneum	Colon Adenocarcinoma	CVCL_5031	Homo Sapiens	Female	East Asian	56	SIDM00216	SIDS00607	SIDP00536
KYO-1	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Peripheral Blood	Chronic Myelogenous Leukemia	CVCL_2095	Homo Sapiens	Male	East Asian	22	SIDM01471	SIDS01386	SIDP01270
L3-3	no available	Pancreas	Pancreatic Carcinoma	Lymph Node	Pancreatic Adenocarcinoma	CVCL_8147	Homo Sapiens	Female	Black	77	SIDM01752	SIDS01608	SIDP01545
