Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]
PXD004940-Sample-1	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 1	proteomic profiling by mass spectrometry	151118_Q_Hela_01_01_50cm_HCD_IT_EasySpray_90min_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_01_01_50cm_HCD_IT_EasySpray_90min_100ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-2	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 2	proteomic profiling by mass spectrometry	151118_Q_Hela_01_02_50cm_HCD_IT_EasySpray_90min_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_01_02_50cm_HCD_IT_EasySpray_90min_100ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-3	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 3	proteomic profiling by mass spectrometry	151118_Q_Hela_01_03_50cm_HCD_IT_EasySpray_90min_100ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_01_03_50cm_HCD_IT_EasySpray_90min_100ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-4	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 4	proteomic profiling by mass spectrometry	151118_Q_Hela_02_01_50cm_HCD_IT_EasySpray_90min_250ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_02_01_50cm_HCD_IT_EasySpray_90min_250ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-5	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 5	proteomic profiling by mass spectrometry	151118_Q_Hela_02_02_50cm_HCD_IT_EasySpray_90min_250ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_02_02_50cm_HCD_IT_EasySpray_90min_250ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-6	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 6	proteomic profiling by mass spectrometry	151118_Q_Hela_02_03_50cm_HCD_IT_EasySpray_90min_250ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_02_03_50cm_HCD_IT_EasySpray_90min_250ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-7	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 7	proteomic profiling by mass spectrometry	151118_Q_Hela_03_01_50cm_HCD_IT_EasySpray_90min_500ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_03_01_50cm_HCD_IT_EasySpray_90min_500ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-8	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 8	proteomic profiling by mass spectrometry	151118_Q_Hela_03_02_50cm_HCD_IT_EasySpray_90min_500ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_03_02_50cm_HCD_IT_EasySpray_90min_500ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-9	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 9	proteomic profiling by mass spectrometry	151118_Q_Hela_03_03_50cm_HCD_IT_EasySpray_90min_500ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_03_03_50cm_HCD_IT_EasySpray_90min_500ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-10	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	1	cell	run 10	proteomic profiling by mass spectrometry	151118_Q_Hela_04_01_50cm_HCD_IT_EasySpray_90min_750ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151118_Q_Hela_04_01_50cm_HCD_IT_EasySpray_90min_750ng.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
