source Name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism]
PXD012636-Sample-1	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 1	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-2	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 2	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-3	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 3	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-4	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 4	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-5	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 5	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-6	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 6	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_6_150714012735.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_6_150714012735.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-7	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 7	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-8	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 8	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-9	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 9	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-10	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 10	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_1_Left_Atria_Fraction_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
