Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Sixplex Tandem Mass Tag®	229.162932	13824	51.7520
Unannotated mass-shift 101.0674	101.0674	1452	5.4350
None	0.0	1361	5.0950
First isotopic peak	1.00235	733	2.7440
Unannotated mass-shift 73.0618	73.0618	701	2.6250
Unannotated mass-shift 230.1474	230.1474	689	2.5790
Succinic anhydride labeling reagent light form (N-term & K)/Methylmalonylation on Serine	100.016044	445	1.6660
Pyro-glu from Q/Loss of ammonia	-17.026549	313	1.1720
Unannotated mass-shift 245.1570	245.157	311	1.1640
Unannotated mass-shift 244.1734	244.1734	281	1.0510
Unannotated mass-shift 251.1412	251.1412	273	1.0210
Second isotopic peak	2.0047	251	0.9400
carboxyethyl/Dihydroxy methylglyoxal adduct/Ethoxyformylation	72.021129	245	0.9160
Unannotated mass-shift -63.9960	-63.996	233	0.8720
Deamidation	0.984016	201	0.7530
Guanidination/amidino	42.021798	190	0.7110
Unannotated mass-shift 25.9786	25.9786	188	0.7040
Carbamylation	43.005814	175	0.6550
Unannotated mass-shift -27.9752	-27.9752	173	0.6480
Unannotated mass-shift -40.0222	-40.0222	156	0.5840
Isotopic peak error	-1.00235	156	0.5840
Sodium adduct	21.981943	153	0.5730
Third isotopic peak	3.0070500000000004	150	0.5600
Unannotated mass-shift 30.0304	30.0304	149	0.5570
Unannotated mass-shift 228.1788	228.1788	141	0.5270
Unannotated mass-shift -127.0444	-127.0444	137	0.5130
Unannotated mass-shift 215.1488	215.1488	137	0.5140
HexNAc1dHex1	349.137281	118	0.4420
Unannotated mass-shift 0.0204	0.0204	113	0.4230
Formylation	27.994915	107	0.4010
deuterated methyl ester	17.03448	106	0.3970
Unannotated mass-shift 117.0616	117.0616	97	0.3630
Unannotated mass-shift 213.1678	213.1678	97	0.3630
Unannotated mass-shift 267.1080	267.108	83	0.3110
Replacement of proton by potassium	37.955882	82	0.3070
Unannotated mass-shift -113.0616	-113.0616	80	0.2990
Unannotated mass-shift -55.9806	-55.9806	79	0.2960
Unannotated mass-shift -26.0066	-26.0066	76	0.2850
Cleavage product of EGS protein crosslinks by hydroylamine treatment/Addition of D	115.026943	76	0.2840
Unannotated mass-shift -74.0080	-74.008	75	0.2800
Unannotated mass-shift -54.9966	-54.9966	67	0.2510
proline oxidation to pyroglutamic acid/Tryptophan oxidation to oxolactone/aldehyde and ketone modifications	13.979265	65	0.2430
Unannotated mass-shift -12.0168	-12.0168	65	0.2430
Unannotated mass-shift -141.0692	-141.0692	62	0.2320
4,4,5,5-D4 Lysine	4.025107	58	0.2170
Unannotated mass-shift 138.1530	138.153	57	0.2130
Unannotated mass-shift 306.1276	306.1276	52	0.1950
Unannotated mass-shift 215.1922	215.1922	52	0.1950
Acetaldehyde +26	26.01565	50	0.1870
Pyrrolidone from Proline	-27.994915	47	0.1760
Unannotated mass-shift 261.1532	261.1532	46	0.1720
Unannotated mass-shift 300.1992	300.1992	46	0.1720
Unannotated mass-shift -32.0266	-32.0266	45	0.1680
Unannotated mass-shift -113.0258	-113.0258	43	0.1610
Unannotated mass-shift -84.9954	-84.9954	42	0.1570
Unannotated mass-shift 230.1348	230.1348	37	0.1380
Unannotated mass-shift 200.1714	200.1714	34	0.1270
Dehydration/Pyro-glu from E	-18.010565	33	0.1230
Unannotated mass-shift 330.2446	330.2446	32	0.1200
Unannotated mass-shift -41.9678	-41.9678	31	0.1160
Unannotated mass-shift 262.1196	262.1196	31	0.1160
tryptophan oxidation to kynurenin	3.994915	29	0.1080
ISD a-series (C-Term)	-46.005479	27	0.1010
Unannotated mass-shift -142.0160	-142.016	25	0.0930
Unannotated mass-shift 116.0784	116.0784	25	0.0940
Unannotated mass-shift 229.0752	229.0752	23	0.0860
Oxidation or Hydroxylation	15.994915	21	0.0790
Unannotated mass-shift 140.1340	140.134	21	0.0790
Unannotated mass-shift 100.0832	100.0832	21	0.0780
Unannotated mass-shift 229.1978	229.1978	20	0.0750
Unannotated mass-shift 113.1036	113.1036	20	0.0750
Unannotated mass-shift 119.9702	119.9702	19	0.0710
Unannotated mass-shift -56.0842	-56.0842	18	0.0670
Unannotated mass-shift 322.1222	322.1222	17	0.0640
Iodoacetic acid derivative	58.005479	17	0.0640
Hex1HexNAc1	365.132196	15	0.0560
Unannotated mass-shift 385.2622	385.2622	15	0.0560
Tryptophan oxidation to hydroxy-bis-tryptophandione	43.953444	14	0.0520
Unannotated mass-shift 69.1318	69.1318	14	0.0520
Unannotated mass-shift 76.9670	76.967	14	0.0520
Unannotated mass-shift -40.9816	-40.9816	13	0.0490
Unannotated mass-shift 44.0816	44.0816	13	0.0490
Unannotated mass-shift -4.9376	-4.9376	13	0.0490
Unannotated mass-shift 229.2942	229.2942	12	0.0450
Amidation	-0.984016	12	0.0450
Unannotated mass-shift 229.2542	229.2542	12	0.0450
Unannotated mass-shift 114.1382	114.1382	12	0.0450
Unannotated mass-shift -125.1006	-125.1006	12	0.0450
Unannotated mass-shift -103.0642	-103.0642	11	0.0410
Acetylation	42.010565	10	0.0370
Unannotated mass-shift 99.9992	99.9992	10	0.0370
Tyrosine oxidation to 2-aminotyrosine/Conversion of carboxylic acid to hydroxamic acid	15.010899	10	0.0370
Unannotated mass-shift 458.2996	458.2996	10	0.0370
Malonylation	86.000394	10	0.0370
