source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	comment[file uri]	comment[fraction identifier]	comment[Fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-01of20_MSG_R01_T0.raw	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-01of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-02of20_MSG_R01_T0.raw	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-02of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-03of20_MSG_R01_T0.raw	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-03of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-04of20_MSG_R01_T0.raw	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-04of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-05of20_MSG_R01_T0.raw	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-05of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-06of20_MSG_R01_T0.raw	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-06of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-07of20_MSG_R01_T0.raw	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-07of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-08of20_MSG_R01_T0.raw	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-08of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-09of20_MSG_R01_T0.raw	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-09of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-10of20_MSG_R01_T0.raw	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-10of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 11	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-11of20_MSG_R01_T0.raw	11	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-11of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 12	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-12of20_MSG_R01_T0.raw	12	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-12of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 13	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-13of20_MSG_R01_T0.raw	13	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-13of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 14	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-14of20_MSG_R01_T0.raw	14	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-14of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 15	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-15of20_MSG_R01_T0.raw	15	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-15of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 16	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-16of20_MSG_R01_T0.raw	16	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-16of20_MSG_R01_T0.raw	HeLa
PXD013658-Sample-5	Homo sapiens	cervix	Uterus	HeLa	CVCL_0030	African American	30Y6M	Female	Human papillomavirus-related cervical adenocarcinoma	epithelial	adult	not available	1	cell line	run 17	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD013658/I_D181219_S553-Hela-HPRP-3h-17of20_MSG_R01_T0.raw	17	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	AC=MS:1002038;NT=label free sample	0.05 Da	20 ppm	1	I_D181219_S553-Hela-HPRP-3h-17of20_MSG_R01_T0.raw	HeLa
