Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 161	ES_XP_MB_374.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_374.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 162	ES_XP_MB_375.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_375.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 163	ES_XP_MB_376.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_376.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 164	ES_XP_MB_377.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_377.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 165	ES_XP_MB_378.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_378.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 166	ES_XP_MB_379.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_379.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 167	ES_XP_MB_380.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_380.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 168	ES_XP_MB_381.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_381.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 169	ES_XP_MB_382.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_382.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 170	ES_XP_MB_383.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_383.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 171	ES_XP_MB_384.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_384.raw	11	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 172	ES_XP_MB_385.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_385.raw	12	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 173	ES_XP_MB_386.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_386.raw	13	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 174	ES_XP_MB_387.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_387.raw	14	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 175	ES_XP_MB_388.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_388.raw	15	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 176	ES_XP_MB_389.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_389.raw	16	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 177	ES_XP_MB_390.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_390.raw	17	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 178	ES_XP_MB_391.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_391.raw	18	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 179	ES_XP_MB_392.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_392.raw	19	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 180	ES_XP_MB_393.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_393.raw	20	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 181	ES_XP_MB_394.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_394.raw	21	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 183	ES_XP_MB_396.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_396.raw	22	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
