Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 216	ES_XP_LMW_Proteominer_182.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_182.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 217	ES_XP_LMW_Proteominer_183.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_183.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 218	ES_XP_LMW_Proteominer_184.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_184.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 219	ES_XP_LMW_Proteominer_185.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_185.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 220	ES_XP_LMW_Proteominer_186.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_186.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 221	ES_XP_LMW_Proteominer_187.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_187.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 222	ES_XP_LMW_Proteominer_188.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_188.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 223	ES_XP_LMW_Proteominer_189.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_189.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 224	ES_XP_LMW_Proteominer_190.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_190.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 225	ES_XP_LMW_Proteominer_191.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_191.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 226	ES_XP_LMW_Proteominer_192.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_192.raw	1	11	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 227	ES_XP_LMW_Proteominer_193.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_193.raw	1	12	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 228	ES_XP_LMW_Proteominer_194.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_194.raw	1	13	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 229	ES_XP_LMW_Proteominer_195.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_195.raw	1	14	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 230	ES_XP_LMW_Proteominer_196.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_196.raw	1	15	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 231	ES_XP_LMW_Proteominer_197.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_197.raw	1	16	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 232	ES_XP_LMW_Proteominer_198.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_198.raw	1	17	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 233	ES_XP_LMW_Proteominer_199.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_199.raw	1	18	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
PXD002255-Sample-5	Homo sapiens	Blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	normal	1	ProteoMiner	enrichment of low molecular weight Protein	not synthetic	run 234	ES_XP_LMW_Proteominer_200.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_LMW_Proteominer_200.raw	1	19	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	Blood serum
