source name	characteristics[organism]	characteristics[cell line]	characteristics[cellosaurus]	characteristics[organism part]	characteristics[sampling site]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD003539-Sample-1	Homo sapiens	CCRF-CEM	CVCL_0207	Blood	Peripheral blood	4Y	Children	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	1	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_003_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	CCRF-CEM
PXD003539-Sample-1	Homo sapiens	CCRF-CEM	CVCL_0207	Blood	Peripheral blood	4Y	Children	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	1	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_002_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_002_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	CCRF-CEM
PXD003539-Sample-2	Homo sapiens	EKVX	CVCL_1195	Lung	not available	not available	not available	Male	Caucasian	Lung adenocarcinoma	not available	1	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_004_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	EKVX
PXD003539-Sample-2	Homo sapiens	EKVX	CVCL_1195	Lung	not available	not available	not available	Male	Caucasian	Lung adenocarcinoma	not available	1	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_003_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	EKVX
PXD003539-Sample-3	Homo sapiens	HCT-116	CVCL_0291	Colon	Colon	48Y	Adult	Male	Caucasian	Colon carcinoma	not available	1	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_005_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	HCT-116
PXD003539-Sample-3	Homo sapiens	HCT-116	CVCL_0291	Colon	Colon	48Y	Adult	Male	Caucasian	Colon carcinoma	not available	1	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_004_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	HCT-116
PXD003539-Sample-4	Homo sapiens	IGROV-1	CVCL_1304	Ovary	Ovary	47Y	Adult	Female	Caucasian	Ovarian endometrioid adenocarcinoma	not available	1	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130610_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130610_006_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	IGROV-1
PXD003539-Sample-4	Homo sapiens	IGROV-1	CVCL_1304	Ovary	Ovary	47Y	Adult	Female	Caucasian	Ovarian endometrioid adenocarcinoma	not available	1	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_005_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	IGROV-1
PXD003539-Sample-5	Homo sapiens	RXF393	CVCL_1673	Kidney	not available	54Y	Adult	Male	Caucasian	Renal cell carcinoma	not available	1	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_007_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_007_SW.mzML	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	RXF393
PXD003539-Sample-5	Homo sapiens	RXF393	CVCL_1673	Kidney	not available	54Y	Adult	Male	Caucasian	Renal cell carcinoma	not available	1	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130622_006_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130622_006_SW.mzML	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.5 Da	RXF393
