source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cause of death]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 1	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_10_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_10_001.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 2	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_10_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_10_002.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 3	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_10_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_10_003.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 4	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_1_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_1_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 5	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_1_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_1_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 6	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_1_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_1_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 7	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_2_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_2_001.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-2	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	2	ms run 8	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_2_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_2_002.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-3	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	3	ms run 9	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_2_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_2_003.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-1	Homo sapiens	Heart	Heart Apex	Cardiomyocytes	not available	not available	not available	not available	not available	not available	1	ms run 10	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_ACM_3_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_ACM_3_001.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
