source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000310-Sample-1	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Basal (WHIM2)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Basal (WHIM2)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-2	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Luminal (WHIM 16)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_127n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Luminal (WHIM 16)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-3	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Basal (WHIM2)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_127c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Basal (WHIM2)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-4	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Basal (WHIM2)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_128n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Basal (WHIM2)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-5	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Luminal (WHIM 16)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_128c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Luminal (WHIM 16)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-6	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Basal (WHIM2)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_129n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Basal (WHIM2)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-7	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Luminal (WHIM 16)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_129c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Luminal (WHIM 16)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-8	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Luminal (WHIM 16)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_130n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Luminal (WHIM 16)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-9	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Basal (WHIM2)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_130c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Basal (WHIM2)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000310-Sample-10	human + mouse	not available	not available	not available	not available	not available	Breast cancers	1	Luminal (WHIM 16)	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/125/CPTAC3_Harmonization_PNNL_W_S2_Fr_01_2May17.raw?Expires=1685621369&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=augVFwg90NOzqoMVsvIEYKsfrAMmwzQEKaIDCU-W8Nnarn40jsA9Og41qwdQuZmbBEX3a-ypB~dKecrLmvCuoh8hKoGDzmbe7J2U1Bjo63va5yorWeb-Zph8cAVlRZeydwDSwJ7~AQS4H3E6j6AFEoOHGSosz79fdX-VewYbaFdrlxKqT7HdwnZWU~J4A0CZ5utOjc-gmC0C-q50k97feZ34o7PFPnP1KFrqKG0TezKgRX0OTZBguyAQurX2iygBtd0CXywI8rx46FdH9k5~3cRrP14Vl7sPkv8zQgEmqCWZ~hDBJJvx5SokXwvoQzGOVgFfhfLXMXFq49QGIjQDbQ__	1	1	tmt_131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	38% NCE	20 ppm	20 ppm	Luminal (WHIM 16)	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;PP=N-term;AC=UNIMOD:737	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
