source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[HiRIEF PH range]	characteristics[mass]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[individual]
PXD010899-Sample 1	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 1	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT126	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 1
PXD010899-Sample 2	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 1	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT127N	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 1
PXD010899-Sample 3	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 3	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT127C	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 3
PXD010899-Sample 4	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 4	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT128N	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 4
PXD010899-Sample 5	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 5	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT128C	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 5
PXD010899-Sample 6	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 6	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT129N	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 6
PXD010899-Sample 7	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 7	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT129C	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 7
PXD010899-Sample 8	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	donor 8	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT130N	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	donor 8
PXD010899-Sample 9	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Norm	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT130C	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Norm
PXD010899-Sample 10	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Norm	1	3.0-10.0	1mg	run 1	proteomic profiling by mass spectrometer	MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/04/PXD010899/MP_normal_pool1_QE1_20160715_1mg_IPG3-10_7of15ul_fr01_160718161001.raw	1	TMT131	1	NT=Trypsin; AC=MS:1001251	NT=Q-Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=Variable"	4.5 ppm	20 ppm	Norm
