source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[phenotype]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[enrichment process]	characteristics[enrichment method]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-1.raw	1	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-2.raw	1	2	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-3.raw	1	3	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-4.raw	1	4	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-5.raw	1	5	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-6.raw	1	6	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-7.raw	1	7	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-8.raw	1	8	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-9.raw	1	9	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
PXD006482-Sample-1	Homo sapiens	kidney	clear cell renal carcinoma	not available	clear cell renal carcinoma	kidney cancer	not available	not available	not available	not applicable	not applicable	enrichment of phosphorylated Protein	IMAC	1	organism part	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	kidney_12-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006482/kidney_12-10.raw	1	10	NT=High-performance liquid chromatography;AC=PRIDE:0000565	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	cid	35 NCE	20 ppm	0.05 Da	clear cell renal carcinoma
