Modification	Mass Shift	dataset01_PSMs	dataset01_percent_PSMs
Sixplex Tandem Mass Tag®	229.162932	8771	68.3650
First isotopic peak	1.00235	2444	19.0500
Unannotated mass-shift 101.0672	101.0672	631	4.9180
Iodoacetamide derivative/Addition of Glycine/Addition of G	57.021464	343	2.6740
Unannotated mass-shift 230.1464	230.1464	332	2.5870
Unannotated mass-shift 73.0608	73.0608	281	2.1900
Carbamylation	43.005814	275	2.1440
Second isotopic peak	2.0047	195	1.5200
Unannotated mass-shift 213.1688	213.1688	186	1.4500
None	0.0	163	1.2700
Unannotated mass-shift 229.1830	229.183	107	0.8340
Pyro-glu from Q/Loss of ammonia	-17.026549	90	0.7020
Succinic anhydride labeling reagent light form (N-term & K)/Methylmalonylation on Serine	100.016044	69	0.5380
Acrylamide d3	74.055944	62	0.4830
Unannotated mass-shift -12.9666	-12.9666	59	0.4600
Unannotated mass-shift 256.1720	256.172	58	0.4520
Isotopic peak error	-1.00235	50	0.3900
2,3-dihydro-2,2-dimethyl-7-benzofuranol N-methyl carbamate	58.029289	48	0.3740
Unannotated mass-shift 229.2092	229.2092	34	0.2650
Unannotated mass-shift -55.0330	-55.033	32	0.2500
deuterated methyl ester	17.03448	32	0.2500
Unannotated mass-shift 247.1934	247.1934	30	0.2340
Unannotated mass-shift -40.0236	-40.0236	28	0.2180
Acetaldehyde +26	26.01565	26	0.2030
Unannotated mass-shift 30.0296	30.0296	26	0.2030
Unannotated mass-shift 214.1528	214.1528	26	0.2030
Unannotated mass-shift -27.9756	-27.9756	23	0.1790
Unannotated mass-shift 99.1254	99.1254	22	0.1720
Unannotated mass-shift 229.2216	229.2216	19	0.1480
Unannotated mass-shift 229.2406	229.2406	15	0.1170
S-Ethylcystine from Serine	44.008456	14	0.1090
Unannotated mass-shift 39.0094	39.0094	13	0.1010
Modification by hydroxylated mechloroethamine (HN-2)	101.084064	12	0.0940
Unannotated mass-shift -26.0068	-26.0068	12	0.0940
Unannotated mass-shift 85.0700	85.07	11	0.0860
Unannotated mass-shift -127.0430	-127.043	11	0.0860
Unannotated mass-shift -40.9804	-40.9804	11	0.0860
Iodoacetic acid derivative	58.005479	11	0.0860
Unannotated mass-shift 56.1116	56.1116	10	0.0780
Third isotopic peak	3.0070500000000004	10	0.0780
