Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
"01TCGA_AO-A12D-01A_C8-A131-01A_AO-A12B-01A_Proteome_BI_20130208","S015-1-1","25","TCGA-AO-A12D
Primary Tumor","TCGA-C8-A131
Primary Tumor","TCGA-AO-A12B
Primary Tumor","Internal Reference
Not Reported"
"02TCGA_E2-A10A-01A_BH-A18Q-01A_C8-A130-01A_Proteome_BI_20130222","S015-1-2","25","TCGA-E2-A10A
Primary Tumor","TCGA-BH-A18Q
Primary Tumor","TCGA-C8-A130
Primary Tumor","Internal Reference
Not Reported"
"03TCGA_C8-A138-01A_E2-A154-01A_BH-A0BZ-01A_Proteome_BI_20130225","S015-1-3","25","TCGA-C8-A138
Primary Tumor","TCGA-E2-A154
Primary Tumor","TCGA-BH-A0BZ
Primary Tumor","Internal Reference
Not Reported"
"04TCGA_A8-A09I-01A_C8-A12L-01A_A2-A0EX-01A_Proteome_BI_20130302","S015-1-4","25","TCGA-A8-A09I
Primary Tumor","TCGA-C8-A12L
Primary Tumor","TCGA-A2-A0EX
Primary Tumor","Internal Reference
Not Reported"
"05TCGA_AO-A12D-01A_AN-A04A-01A_BH-A0AV-01A_Proteome_BI_20130310_Replicate","S015-1-5-Replicate","25","TCGA-AO-A12D
Primary Tumor","TCGA-AN-A04A
Primary Tumor","TCGA-BH-A0AV
Primary Tumor","Internal Reference
Not Reported"
"05TCGA_AO-A12D-01A_AN-A04A-01A_BH-A0AV-01A_Proteome_BI_20130416","S015-1-5","25","TCGA-AO-A12D
Primary Tumor","TCGA-AN-A04A
Primary Tumor","TCGA-BH-A0AV
Primary Tumor","Internal Reference
Not Reported"
"06TCGA_A2-A0D0-01A_BH-A0HK-01A_C8-A12T-01A_Proteome_BI_20130326","S015-1-6","25","TCGA-A2-A0D0
Primary Tumor","TCGA-BH-A0HK
Primary Tumor","TCGA-C8-A12T
Primary Tumor","Internal Reference
Not Reported"
"07TCGA_A8-A06Z-01A_A2-A0D1-01A_A2-A0CM-01A_Proteome_BI_20130401","S015-1-7","25","TCGA-A8-A06Z
Primary Tumor","TCGA-A2-A0D1
Primary Tumor","TCGA-A2-A0CM
Primary Tumor","Internal Reference
Not Reported"
"08TCGA_BH-A18U-01A_A2-A0YI-01A_A2-A0EQ-01A_Proteome_BI_20130404","S015-1-8","25","TCGA-BH-A18U
Primary Tumor","TCGA-A2-A0YI
Primary Tumor","TCGA-A2-A0EQ
Primary Tumor","Internal Reference
Not Reported"
"09TCGA_AR-A0TY-01A_AR-A0U4-01A_BH-A0HP-01A_Proteome_BI_20130408","S015-1-9","25","TCGA-AR-A0TY
Primary Tumor","TCGA-AR-A0U4
Primary Tumor","TCGA-BH-A0HP
Primary Tumor","Internal Reference
Not Reported"
"10TCGA_BH-A0EE-01A_AO-A0J9-01A_BH-A0E0-01A_Proteome_BI_20130412","S015-1-10","25","TCGA-BH-A0EE
Primary Tumor","TCGA-AO-A0J9
Primary Tumor","TCGA-BH-A0E0
Primary Tumor","Internal Reference
Not Reported"
"11TCGA_AR-A1AP-01A_AN-A0FK-01A_AO-A0J6-01A_Proteome_BI_20130517","S015-1-11","25","TCGA-AR-A1AP
Primary Tumor","TCGA-AN-A0FK
Primary Tumor","TCGA-AO-A0J6
Primary Tumor","Internal Reference
Not Reported"
"12TCGA_BH-A18V-01A_A7-A13F-01A_BH-A0E1-01A_Proteome_BI_20130520","S015-1-12","25","TCGA-BH-A18V
Primary Tumor","TCGA-A7-A13F
Primary Tumor","TCGA-BH-A0E1
Primary Tumor","Internal Reference
Not Reported"
"13TCGA_A7-A0CE-01A_BH-A0C0-01A_A2-A0YC-01A_Proteome_BI_20130524","S015-1-13","25","TCGA-A7-A0CE
Primary Tumor","TCGA-BH-A0C0
Primary Tumor","TCGA-A2-A0YC
Primary Tumor","Internal Reference
Not Reported"
"14TCGA_AO-A0JC-01A_A8-A08Z-01A_AR-A0TX-01A_Proteome_BI_20130527","S015-1-14","25","TCGA-AO-A0JC
Primary Tumor","TCGA-A8-A08Z
Primary Tumor","TCGA-AR-A0TX
Primary Tumor","Internal Reference
Not Reported"
"15TCGA_D8-A13Y-01A_A8-A076-01A_AO-A126-01A_Proteome_BI_20130617","S015-1-15","25","TCGA-D8-A13Y
Primary Tumor","TCGA-A8-A076
Primary Tumor","TCGA-AO-A126
Primary Tumor","Internal Reference
Not Reported"
"16TCGA_C8-A12P-01A_BH-A0C1-01A_A2-A0EY-01A_Proteome_BI_20130622","S015-1-16","25","TCGA-C8-A12P
Primary Tumor","TCGA-BH-A0C1
Primary Tumor","TCGA-A2-A0EY
Primary Tumor","Internal Reference
Not Reported"
"17TCGA_AR-A1AW-01A_AR-A1AV-01A_C8-A135-01A_Proteome_BI_20130628","S015-1-17","25","TCGA-AR-A1AW
Primary Tumor","TCGA-AR-A1AV
Primary Tumor","TCGA-C8-A135
Primary Tumor","Internal Reference
Not Reported"
"18TCGA_A2-A0EV-01A_AN-A0AM-01A_D8-A142-01A_Proteome_BI_20130625","S015-1-18","25","TCGA-A2-A0EV
Primary Tumor","TCGA-AN-A0AM
Primary Tumor","TCGA-D8-A142
Primary Tumor","Internal Reference
Not Reported"
