source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell line]	characteristics[amount]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[scan repetitions]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[scan repetitions]
PXD024043-Sample-1	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D1_1_2944.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D1_1_2944.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	1
PXD024043-Sample-2	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	2	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D2_1_2945.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D2_1_2945.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	1
PXD024043-Sample-3	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	3	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D3_1_2946.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep01_400s_30min_S1-D3_1_2946.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	1
PXD024043-Sample-4	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	2	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D4_1_2947.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D4_1_2947.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	2
PXD024043-Sample-5	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	2	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	2	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D5_1_2948.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D5_1_2948.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	2
PXD024043-Sample-6	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	3	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	2	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D6_1_2949.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep02_400s_30min_S1-D6_1_2949.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	2
PXD024043-Sample-7	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	3	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D7_1_2950.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D7_1_2950.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	3
PXD024043-Sample-8	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	2	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	3	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D8_1_2951.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D8_1_2951.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	3
PXD024043-Sample-9	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	3	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	3	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D9_1_2952.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep03_400s_30min_S1-D9_1_2952.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	3
PXD024043-Sample-10	Homo sapiens	Uterus	Adenocarcinoma	Female	31Y	hela	1ng	epithelial cell	Black	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	4	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep04_400s_30min_S1-D10_1_2953.d.zip	20200827_TIMS04_EVO07_AnBr_1ng_dia_rep04_400s_30min_S1-D10_1_2953.d.zip	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;PP=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	10 ppm	10 ppm	4
