Plex Dataset Name,Run Metadata ID,Number of Fractions,label_free
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00004_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00004_NAT.raw","1","C3L-00004
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00004_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00004_T.raw","1","C3L-00004
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00010_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00010_NAT.raw","1","C3L-00010
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00010_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00010_T.raw","1","C3L-00010
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00011_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00011_NAT.raw","1","C3L-00011
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00011_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00011_T.raw","1","C3L-00011
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00026_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00026_NAT.raw","1","C3L-00026
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00026_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00026_T.raw","1","C3L-00026
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00079_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00079_NAT.raw","1","C3L-00079
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00079_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00079_T.raw","1","C3L-00079
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00088_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00088_NAT.raw","1","C3L-00088
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00088_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00088_T.raw","1","C3L-00088
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00096_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00096_NAT.raw","1","C3L-00096
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00096_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00096_T.raw","1","C3L-00096
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00097_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00097_NAT.raw","1","C3L-00097
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00097_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00097_T.raw","1","C3L-00097
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00103_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00103_NAT.raw","1","C3L-00103
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00103_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00103_T.raw","1","C3L-00103
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00183_NAT.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00183_NAT.raw","1","C3L-00183
Solid Tissue Normal"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00183_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00183_T.raw","1","C3L-00183
Primary Tumor"
"CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00359_T.raw","CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00359_T.raw","1","C3L-00359
Primary Tumor"
