source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[label]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[disease]
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr1.raw	1	1	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr1.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr10.raw	1	2	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr10.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr11.raw	1	3	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr11.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr12.raw	1	4	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr12.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr13.raw	1	5	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr13.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 6	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr14.raw	1	6	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr14.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 7	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr15.raw	1	7	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr15.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 8	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr16.raw	1	8	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr16.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 9	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr17.raw	1	9	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr17.raw	Metastatic melanoma
PXD000497-Sample-1	Homo sapiens	skin	54Y	A-375	Epithelial	european	not available	Female	Metastatic melanoma	not available	1	tissue	proteomic profiling by mass spectrometer	run 10	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/12/PXD000497/OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr18.raw	1	10	NT=Trypsin;AC=MS:1001251	AC=MS:1000484; NT=Orbitrap	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	AC=MS:1000422;NT=HCD	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	"NT=Dimethyl;AC=UNIMOD:36;TA=K,R;MT=Variable"	10 ppm	0.05 Da	OR5_120607_GM_NKI_Mix2_SCX_TiIMAC_Fr18.raw	Metastatic melanoma
