Plex Dataset Name,Run Metadata ID,Number of Fractions,itraq_114,itraq_115,itraq_116,itraq_117
"NCC_N111T112_Proteome_KU_20150109","NCC_N111T112_Proteome_KU_20150109","24","28
Solid Tissue Normal","28
Tumor","28
Solid Tissue Normal","28
Tumor"
"NCC_N115T116_Proteome_KU_20150109","NCC_N115T116_Proteome_KU_20150109","24","29
Solid Tissue Normal","29
Tumor","29
Solid Tissue Normal","29
Tumor"
"NCC_N117T118_Proteome_KU_20150109","NCC_N117T118_Proteome_KU_20150109","24","30
Solid Tissue Normal","30
Tumor","30
Solid Tissue Normal","30
Tumor"
"NCC_N119T120_Proteome_KU_20150109","NCC_N119T120_Proteome_KU_20150109","24","31
Solid Tissue Normal","31
Tumor","31
Solid Tissue Normal","31
Tumor"
"NCC_N123T124_Proteome_KU_20150109","NCC_N123T124_Proteome_KU_20150109","24","32
Solid Tissue Normal","32
Tumor","32
Solid Tissue Normal","32
Tumor"
"NCC_N131T132_Proteome_KU_20150109","NCC_N131T132_Proteome_KU_20150109","24","33
Solid Tissue Normal","33
Tumor","33
Solid Tissue Normal","33
Tumor"
"NCC_N135T136_Proteome_KU_20150109","NCC_N135T136_Proteome_KU_20150109","24","34
Solid Tissue Normal","34
Tumor","34
Solid Tissue Normal","34
Tumor"
"NCC_N137T138_Proteome_KU_20150109","NCC_N137T138_Proteome_KU_20150109","24","35
Solid Tissue Normal","35
Tumor","35
Solid Tissue Normal","35
Tumor"
"NCC_N139T140_Proteome_KU_20150109","NCC_N139T140_Proteome_KU_20150109","24","36
Solid Tissue Normal","36
Tumor","36
Solid Tissue Normal","36
Tumor"
"NCC_N13T236_Proteome_KU_20161115","NCC_N13T236_Proteome_KU_20161115","24","1
Solid Tissue Normal","1
Tumor","66
Solid Tissue Normal","66
Tumor"
"NCC_N143T144_Proteome_KU_20150109","NCC_N143T144_Proteome_KU_20150109","24","37
Solid Tissue Normal","37
Tumor","37
Solid Tissue Normal","37
Tumor"
"NCC_N145T202_Proteome_KU_20161115","NCC_N145T202_Proteome_KU_20161115","24","38
Solid Tissue Normal","38
Tumor","55
Solid Tissue Normal","55
Tumor"
"NCC_N147T148_Proteome_KU_20150109","NCC_N147T148_Proteome_KU_20150109","24","39
Solid Tissue Normal","39
Tumor","39
Solid Tissue Normal","39
Tumor"
"NCC_N149T150_Proteome_KU_20150109","NCC_N149T150_Proteome_KU_20150109","24","40
Solid Tissue Normal","40
Tumor","40
Solid Tissue Normal","40
Tumor"
"NCC_N155T156_Proteome_KU_20150109","NCC_N155T156_Proteome_KU_20150109","24","41
Solid Tissue Normal","41
Tumor","41
Solid Tissue Normal","41
Tumor"
"NCC_N15T16_Proteome_KU_20150109","NCC_N15T16_Proteome_KU_20150109","24","2
Solid Tissue Normal","2
Tumor","2
Solid Tissue Normal","2
Tumor"
"NCC_N161T162_Proteome_KU_20150109","NCC_N161T162_Proteome_KU_20150109","24","42
Solid Tissue Normal","42
Tumor","42
Solid Tissue Normal","42
Tumor"
"NCC_N163T164_Proteome_KU_20150109","NCC_N163T164_Proteome_KU_20150109","24","43
Solid Tissue Normal","43
Tumor","43
Solid Tissue Normal","43
Tumor"
