Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[cell type]	Characteristics[sex]	Characteristics[growth condition]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell type]
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not availablenot available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 1	proteomic profiling by mass spectrometry	QEHF2_07489_AL.raw       	QEHF2_07489_AL.raw       	not available	not available	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:1	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 2	proteomic profiling by mass spectrometry	QEHF2_07490_AL.raw 	QEHF2_07490_AL.raw 	not available	not available	TMT127	NT=Q Exactive HF;AC=MS:1002524	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:2	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 3	proteomic profiling by mass spectrometry	QEHF2_07491_AL.raw   	QEHF2_07491_AL.raw   	not available	not available	TMT128	NT=Q Exactive HF;AC=MS:1002525	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:3	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 4	proteomic profiling by mass spectrometry	QEHF2_07492_AL.raw	QEHF2_07492_AL.raw	not available	not available	TMT129	NT=Q Exactive HF;AC=MS:1002526	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:4	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 5	proteomic profiling by mass spectrometry	QEHF2_07493_AL.raw 	QEHF2_07493_AL.raw 	not available	not available	TMT130	NT=Q Exactive HF;AC=MS:1002527	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:5	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 6	proteomic profiling by mass spectrometry	QEHF2_07494_AL.raw 	QEHF2_07494_AL.raw 	not available	not available	TMT131	NT=Q Exactive HF;AC=MS:1002528	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:6	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 7	proteomic profiling by mass spectrometry	QEHF2_07495_AL.raw 	QEHF2_07495_AL.raw 	not available	not available	TMT126	NT=Q Exactive HF;AC=MS:1002529	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:7	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 8	proteomic profiling by mass spectrometry	QEHF2_07496_AL.raw     	QEHF2_07496_AL.raw     	not available	not available	TMT127	NT=Q Exactive HF;AC=MS:1002530	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:8	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 9	proteomic profiling by mass spectrometry	QEHF2_07497_AL.raw      	QEHF2_07497_AL.raw      	not available	not available	TMT128	NT=Q Exactive HF;AC=MS:1002531	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:9	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
PXD028400-Sample-1	Homo sapiens	Cell culture	not available	not available	not available	not available	not applicable	not available	Breast cancer	not available	cell	run 10	proteomic profiling by mass spectrometry	QEHF2_07498_AL.raw 	QEHF2_07498_AL.raw 	not available	not available	TMT129	NT=Q Exactive HF;AC=MS:1002532	NT=Acetyl;MT=Variable;TA=N;AC=Unimod:10	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32 NCE	20 ppm	not available	not available
